seed=7
gen=0	fitness=-0.116780409876	chromosome=10110110101011101010011011011100	decoded=[4.272068, 3.036088]
gen=1	fitness=-0.630604101271	chromosome=10101011101110101010111001010100	decoded=[3.416342, 3.619593]
gen=2	fitness=-0.874978297528	chromosome=10100110011000011010101110001110	decoded=[2.998550, 3.402914]
gen=3	fitness=-0.930649399977	chromosome=10100110011000011010101001010100	decoded=[2.998550, 3.307088]
gen=4	fitness=-0.930649399977	chromosome=10100110011000011010101001010100	decoded=[2.998550, 3.307088]
gen=5	fitness=-0.930649399977	chromosome=10100110011000011010101001010100	decoded=[2.998550, 3.307088]
gen=6	fitness=-0.955763002690	chromosome=10101000111000011010101001010100	decoded=[3.193866, 3.307088]
gen=7	fitness=-0.964548208750	chromosome=10101000111000011010101000010100	decoded=[3.193866, 3.287556]
gen=8	fitness=-0.975116952107	chromosome=10100110101011101010011110010010	decoded=[3.022049, 3.091630]
gen=9	fitness=-0.975116952107	chromosome=10100110101011101010011110010010	decoded=[3.022049, 3.091630]
gen=10	fitness=-0.993639150785	chromosome=10100111101010101010011110010100	decoded=[3.098955, 3.092241]
gen=11	fitness=-0.996147185292	chromosome=10101000110000011010011111011011	decoded=[3.184100, 3.113909]
gen=12	fitness=-0.996147185292	chromosome=10101000110000011010011111011011	decoded=[3.184100, 3.113909]
gen=13	fitness=-0.996220627727	chromosome=10100111101011011010011111011010	decoded=[3.099870, 3.113603]
gen=14	fitness=-0.996766302149	chromosome=10101000110000001010011111110110	decoded=[3.183795, 3.122148]
gen=15	fitness=-0.996837173599	chromosome=10101000110001011010100001100100	decoded=[3.185321, 3.155718]
gen=16	fitness=-0.997846196932	chromosome=10101000010000011010011110111010	decoded=[3.145037, 3.103838]
gen=17	fitness=-0.997846196932	chromosome=10101000010000011010011110111010	decoded=[3.145037, 3.103838]
gen=18	fitness=-0.998701675309	chromosome=10101000000101011010011111011011	decoded=[3.131609, 3.113909]
gen=19	fitness=-0.999442063942	chromosome=10101000001000011010011111111010	decoded=[3.135271, 3.123369]
gen=20	fitness=-0.999453288132	chromosome=10101000010000001010011111111000	decoded=[3.144732, 3.122759]
gen=21	fitness=-0.999453288132	chromosome=10101000010000001010011111111000	decoded=[3.144732, 3.122759]
gen=22	fitness=-0.999453288132	chromosome=10101000010000001010011111111000	decoded=[3.144732, 3.122759]
gen=23	fitness=-0.999453288132	chromosome=10101000010000001010011111111000	decoded=[3.144732, 3.122759]
gen=24	fitness=-0.999453288132	chromosome=10101000010000001010011111111000	decoded=[3.144732, 3.122759]
gen=25	fitness=-0.999469610458	chromosome=10101000001000111010011111111011	decoded=[3.135882, 3.123674]
gen=26	fitness=-0.999469610458	chromosome=10101000001000111010011111111011	decoded=[3.135882, 3.123674]
gen=27	fitness=-0.999469610458	chromosome=10101000001000111010011111111011	decoded=[3.135882, 3.123674]
gen=28	fitness=-0.999516029940	chromosome=10101000001000001010011111111111	decoded=[3.134966, 3.124895]
gen=29	fitness=-0.999516029940	chromosome=10101000001000001010011111111111	decoded=[3.134966, 3.124895]
gen=30	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=31	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=32	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=33	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=34	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=35	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=36	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=37	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=38	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=39	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=40	fitness=-0.999577309318	chromosome=10101000001100001010011111111111	decoded=[3.139849, 3.124895]
gen=41	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=42	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=43	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=44	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=45	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=46	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=47	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=48	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=49	fitness=-0.999580839846	chromosome=10101000001100111010011111111111	decoded=[3.140764, 3.124895]
gen=50	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=51	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=52	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=53	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=54	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=55	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=56	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=57	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=58	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=59	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=60	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=61	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=62	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=63	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=64	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=65	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=66	fitness=-0.999581458114	chromosome=10101000001101001010011111111111	decoded=[3.141070, 3.124895]
gen=67	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=68	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=69	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=70	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=71	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=72	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=73	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=74	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=75	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=76	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=77	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
