seed=2
gen=0	fitness=0.029568811046	position=[2.687271, 0.390107]
gen=1	fitness=0.004347730615	position=[2.936552, 0.470556]
gen=2	fitness=0.004347730615	position=[2.936552, 0.470556]
gen=3	fitness=0.004347730615	position=[2.936552, 0.470556]
gen=4	fitness=0.000926354135	position=[3.078649, 0.518042]
gen=5	fitness=0.000789041269	position=[2.959391, 0.484892]
gen=6	fitness=0.000789041269	position=[2.959391, 0.484892]
gen=7	fitness=0.000091858754	position=[2.977401, 0.494943]
gen=8	fitness=0.000054445695	position=[3.017525, 0.503800]
gen=9	fitness=0.000050818734	position=[3.000844, 0.501689]
gen=10	fitness=0.000010721939	position=[2.992113, 0.498210]
gen=11	fitness=0.000010721939	position=[2.992113, 0.498210]
gen=12	fitness=0.000001062291	position=[2.997637, 0.499328]
gen=13	fitness=0.000000534893	position=[3.000919, 0.500359]
gen=14	fitness=0.000000534893	position=[3.000919, 0.500359]
gen=15	fitness=0.000000385327	position=[2.999343, 0.499720]
gen=16	fitness=0.000000026084	position=[3.000007, 0.500035]
gen=17	fitness=0.000000019057	position=[3.000309, 0.500064]
gen=18	fitness=0.000000019057	position=[3.000309, 0.500064]
gen=19	fitness=0.000000019057	position=[3.000309, 0.500064]
gen=20	fitness=0.000000002600	position=[2.999885, 0.499967]
gen=21	fitness=0.000000002600	position=[2.999885, 0.499967]
gen=22	fitness=0.000000001189	position=[3.000076, 0.500015]
gen=23	fitness=0.000000001189	position=[3.000076, 0.500015]
gen=24	fitness=0.000000001189	position=[3.000076, 0.500015]
gen=25	fitness=0.000000000709	position=[3.000051, 0.500009]
gen=26	fitness=0.000000000060	position=[3.000003, 0.500002]
gen=27	fitness=0.000000000028	position=[3.000001, 0.499999]
gen=28	fitness=0.000000000028	position=[3.000001, 0.499999]
gen=29	fitness=0.000000000004	position=[3.000003, 0.500001]
gen=30	fitness=0.000000000004	position=[3.000003, 0.500001]
gen=31	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=32	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=33	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=34	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=35	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=36	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=37	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=38	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=39	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=40	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=41	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=42	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=43	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=44	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=45	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=46	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=47	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=48	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=49	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=50	fitness=0.000000000000	position=[3.000000, 0.500000]
