seed=4
gen=0	fitness=90.439355691299	position=[-2.832655, -1.798685, -0.178130, -1.150469, -3.354924, 0.054851, -0.045177, -1.024174, -0.813961, -1.624604]
gen=1	fitness=69.082255093162	position=[1.355321, 1.879439, -0.865469, -0.843711, 1.044826, 2.115325, -1.918523, 0.946277, -2.293353, -1.089208]
gen=2	fitness=48.768734548358	position=[-1.054042, -0.844044, -0.118521, -0.061586, -0.821653, -0.194926, -0.204523, -0.787648, -0.805303, -0.122372]
gen=3	fitness=48.768734548358	position=[-1.054042, -0.844044, -0.118521, -0.061586, -0.821653, -0.194926, -0.204523, -0.787648, -0.805303, -0.122372]
gen=4	fitness=48.768734548358	position=[-1.054042, -0.844044, -0.118521, -0.061586, -0.821653, -0.194926, -0.204523, -0.787648, -0.805303, -0.122372]
gen=5	fitness=48.768734548358	position=[-1.054042, -0.844044, -0.118521, -0.061586, -0.821653, -0.194926, -0.204523, -0.787648, -0.805303, -0.122372]
gen=6	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=7	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=8	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=9	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=10	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=11	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
gen=12	fitness=45.370087704004	position=[-1.048595, 0.090140, -0.043597, -1.099563, -0.195141, 1.968361, -1.007055, -0.262762, -3.091344, -0.165752]
