seed=101
gen=0	fitness=5282.220778046177	tour=[31, 7, 40, 3, 48, 96, 67, 10, 65, 35, 66, 99, 89, 71, 76, 33, 87, 19, 72, 15, 18, 80, 79, 88, 58, 12, 49, 61, 82, 90, 5, 53, 2, 83, 16, 44, 37, 23, 1, 22, 94, 34, 13, 29, 0, 97, 57, 47, 78, 4, 92, 63, 75, 50, 25, 17, 70, 85, 21, 43, 39, 52, 73, 14, 86, 38, 95, 55, 8, 26, 54, 51, 30, 41, 60, 81, 46, 68, 93, 11, 20, 98, 32, 9, 56, 42, 91, 62, 36, 28, 77, 27, 64, 84, 6, 59, 45, 69, 24, 74]
gen=1	fitness=830.518459358167	tour=[66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60]
gen=2	fitness=830.518459358167	tour=[66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60]
gen=3	fitness=830.518459358167	tour=[66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60]
gen=4	fitness=830.518459358167	tour=[66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60]
gen=5	fitness=818.248785736646	tour=[97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 38, 9, 80, 44, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 29, 99, 2, 47, 79, 23, 3, 16]
gen=6	fitness=818.248785736646	tour=[97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 38, 9, 80, 44, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62, 29, 99, 2, 47, 79, 23, 3, 16]
gen=7	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=8	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=9	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
gen=10	fitness=817.455224808919	tour=[29, 99, 2, 47, 79, 23, 3, 16, 97, 40, 46, 70, 84, 39, 22, 48, 43, 27, 73, 19, 72, 24, 55, 89, 32, 56, 25, 83, 58, 88, 33, 86, 53, 14, 36, 63, 13, 50, 20, 96, 18, 6, 26, 45, 64, 67, 30, 28, 71, 1, 31, 90, 34, 10, 61, 21, 12, 60, 66, 87, 76, 7, 35, 49, 82, 17, 77, 98, 74, 11, 54, 5, 78, 75, 37, 94, 95, 85, 0, 4, 15, 69, 65, 44, 80, 9, 38, 51, 8, 59, 42, 52, 93, 91, 68, 41, 92, 57, 81, 62]
