seed=25
gen=0	fitness=1316.233964308293	tour=[23, 7, 17, 2, 4, 10, 13, 5, 3, 11, 24, 14, 16, 22, 19, 21, 18, 8, 1, 15, 20, 9, 6, 0, 12]
gen=1	fitness=397.423242175063	tour=[5, 20, 21, 22, 16, 13, 7, 8, 2, 1, 9, 19, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 3, 11, 0]
gen=2	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=3	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=4	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=5	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=6	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=7	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=8	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=9	fitness=395.510922474022	tour=[20, 5, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23, 17, 11, 3, 0]
gen=10	fitness=394.101635246315	tour=[17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 7, 2, 8, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23]
gen=11	fitness=394.101635246315	tour=[17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 7, 2, 8, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23]
gen=12	fitness=394.101635246315	tour=[17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 7, 2, 8, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6, 23]
gen=13	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=14	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=15	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=16	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=17	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=18	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=19	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=20	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=21	fitness=392.236971302176	tour=[20, 5, 10, 21, 22, 13, 16, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 6, 23, 17, 3, 11, 0]
gen=22	fitness=385.869106324597	tour=[23, 17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6]
gen=23	fitness=385.869106324597	tour=[23, 17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6]
gen=24	fitness=385.869106324597	tour=[23, 17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6]
gen=25	fitness=385.869106324597	tour=[23, 17, 3, 11, 0, 5, 20, 21, 22, 16, 13, 8, 2, 7, 19, 1, 9, 12, 15, 24, 14, 18, 4, 10, 6]
