seed=3
gen=0	fitness=0.912266724187	chromosome=00011111110101011010001110010010	decoded=[-3.380888, 1.250607]
gen=1	fitness=0.129546183042	chromosome=11000101010111111000101011010001	decoded=[2.438933, 0.380339]
gen=2	fitness=0.129546183042	chromosome=11000101010111111000101011010001	decoded=[2.438933, 0.380339]
gen=3	fitness=0.129546183042	chromosome=11000101010111111000101011010001	decoded=[2.438933, 0.380339]
gen=4	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=5	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=6	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=7	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=8	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=9	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=10	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=11	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=12	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=13	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=14	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=15	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=16	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=17	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=18	fitness=0.002524087637	chromosome=11010010010001111000110110010000	decoded=[2.892676, 0.476883]
gen=19	fitness=0.001521213880	chromosome=11011000001101011000111011011101	decoded=[3.101144, 0.522614]
gen=20	fitness=0.001521213880	chromosome=11011000001101011000111011011101	decoded=[3.101144, 0.522614]
gen=21	fitness=0.001521213880	chromosome=11011000001101011000111011011101	decoded=[3.101144, 0.522614]
gen=22	fitness=0.001521213880	chromosome=11011000001101011000111011011101	decoded=[3.101144, 0.522614]
gen=23	fitness=0.001521213880	chromosome=11011000001101011000111011011101	decoded=[3.101144, 0.522614]
gen=24	fitness=0.001423733737	chromosome=11010011000011011000110110000111	decoded=[2.919867, 0.475647]
gen=25	fitness=0.001423733737	chromosome=11010011000011011000110110000111	decoded=[2.919867, 0.475647]
gen=26	fitness=0.001423733737	chromosome=11010011000011011000110110000111	decoded=[2.919867, 0.475647]
gen=27	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=28	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=29	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=30	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=31	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=32	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=33	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=34	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=35	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=36	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=37	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=38	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=39	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=40	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=41	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=42	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=43	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=44	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=45	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=46	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=47	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=48	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=49	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=50	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=51	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=52	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=53	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=54	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=55	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=56	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=57	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=58	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=59	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=60	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=61	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=62	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=63	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=64	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=65	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=66	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=67	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=68	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=69	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=70	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=71	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=72	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
gen=73	fitness=0.000139816192	chromosome=11010101010011111000111000100101	decoded=[2.999245, 0.497345]
