seed=6
gen=0	fitness=0.373643633748	chromosome=11000000101111001000001101110110	decoded=[2.275921, 0.121744]
gen=1	fitness=0.200095936937	chromosome=11100100111111001000111101111011	decoded=[3.550355, 0.544312]
gen=2	fitness=0.093648509608	chromosome=11001100100001101000100110101110	decoded=[2.690387, 0.340375]
gen=3	fitness=0.071556211658	chromosome=11001100000001101000100111101100	decoded=[2.672808, 0.348890]
gen=4	fitness=0.071556211658	chromosome=11001100000001101000100111101100	decoded=[2.672808, 0.348890]
gen=5	fitness=0.071556211658	chromosome=11001100000001101000100111101100	decoded=[2.672808, 0.348890]
gen=6	fitness=0.021588509052	chromosome=11011100100101001000111100111110	decoded=[3.254818, 0.535935]
gen=7	fitness=0.021588509052	chromosome=11011100100101001000111100111110	decoded=[3.254818, 0.535935]
gen=8	fitness=0.016851876233	chromosome=11010110001100001000111100101010	decoded=[3.030144, 0.533188]
gen=9	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=10	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=11	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=12	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=13	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=14	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=15	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=16	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=17	fitness=0.000649733011	chromosome=11010111001101011000111010101110	decoded=[3.065988, 0.516159]
gen=18	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=19	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=20	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=21	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=22	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=23	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=24	fitness=0.000453741983	chromosome=11010110001000001000111001001111	decoded=[3.027947, 0.503113]
gen=25	fitness=0.000274270772	chromosome=11010100001011111000110111101100	decoded=[2.959693, 0.489517]
gen=26	fitness=0.000274270772	chromosome=11010100001011111000110111101100	decoded=[2.959693, 0.489517]
gen=27	fitness=0.000274270772	chromosome=11010100001011111000110111101100	decoded=[2.959693, 0.489517]
gen=28	fitness=0.000274270772	chromosome=11010100001011111000110111101100	decoded=[2.959693, 0.489517]
gen=29	fitness=0.000274270772	chromosome=11010100001011111000110111101100	decoded=[2.959693, 0.489517]
gen=30	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=31	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=32	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=33	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=34	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=35	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=36	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=37	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=38	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=39	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=40	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=41	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=42	fitness=0.000144998658	chromosome=11010110001100001000111001101011	decoded=[3.030144, 0.506958]
gen=43	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=44	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=45	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=46	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=47	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=48	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=49	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=50	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=51	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=52	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=53	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=54	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=55	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
