seed=20
gen=0	fitness=1.273937322401	position=[2.432267, -0.068571]
gen=1	fitness=0.206710752767	position=[2.311854, 0.221731]
gen=2	fitness=0.009927703377	position=[2.781780, 0.443561]
gen=3	fitness=0.009927703377	position=[2.781780, 0.443561]
gen=4	fitness=0.009927703377	position=[2.781780, 0.443561]
gen=5	fitness=0.006665498650	position=[2.883331, 0.454886]
gen=6	fitness=0.000653362062	position=[3.032204, 0.503338]
gen=7	fitness=0.000213682324	position=[3.024559, 0.503783]
gen=8	fitness=0.000213682324	position=[3.024559, 0.503783]
gen=9	fitness=0.000213682324	position=[3.024559, 0.503783]
gen=10	fitness=0.000213682324	position=[3.024559, 0.503783]
gen=11	fitness=0.000142054511	position=[3.007208, 0.504174]
gen=12	fitness=0.000029619085	position=[3.010924, 0.502018]
gen=13	fitness=0.000029619085	position=[3.010924, 0.502018]
gen=14	fitness=0.000022911571	position=[2.990116, 0.496980]
gen=15	fitness=0.000022911571	position=[2.990116, 0.496980]
gen=16	fitness=0.000002259528	position=[3.003734, 0.500884]
gen=17	fitness=0.000001171802	position=[2.999949, 0.500213]
gen=18	fitness=0.000001171802	position=[2.999949, 0.500213]
gen=19	fitness=0.000000700079	position=[2.998724, 0.499545]
gen=20	fitness=0.000000087183	position=[2.999600, 0.499849]
gen=21	fitness=0.000000087183	position=[2.999600, 0.499849]
gen=22	fitness=0.000000044651	position=[3.000134, 0.499991]
gen=23	fitness=0.000000044651	position=[3.000134, 0.499991]
gen=24	fitness=0.000000044651	position=[3.000134, 0.499991]
gen=25	fitness=0.000000038128	position=[2.999550, 0.499904]
gen=26	fitness=0.000000012123	position=[2.999886, 0.499993]
gen=27	fitness=0.000000003527	position=[2.999926, 0.499971]
gen=28	fitness=0.000000003527	position=[2.999926, 0.499971]
gen=29	fitness=0.000000000983	position=[2.999926, 0.499980]
gen=30	fitness=0.000000000646	position=[2.999976, 0.499989]
gen=31	fitness=0.000000000160	position=[3.000031, 0.500007]
gen=32	fitness=0.000000000104	position=[3.000022, 0.500004]
gen=33	fitness=0.000000000051	position=[3.000000, 0.500002]
gen=34	fitness=0.000000000051	position=[3.000000, 0.500002]
gen=35	fitness=0.000000000019	position=[2.999990, 0.499997]
gen=36	fitness=0.000000000015	position=[3.000005, 0.500000]
gen=37	fitness=0.000000000001	position=[2.999998, 0.499999]
gen=38	fitness=0.000000000001	position=[2.999998, 0.499999]
gen=39	fitness=0.000000000001	position=[2.999998, 0.499999]
gen=40	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=41	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=42	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=43	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=44	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=45	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=46	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=47	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=48	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=49	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=50	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=51	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=52	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=53	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=54	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=55	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=56	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=57	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=58	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=59	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=60	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=61	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=62	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=63	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=64	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=65	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=66	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=67	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=68	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=69	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=70	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=71	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=72	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=73	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=74	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=75	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=76	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=77	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=78	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=79	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=80	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=81	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=82	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=83	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=84	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=85	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=86	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=87	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=88	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=89	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=90	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=91	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=92	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=93	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=94	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=95	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=96	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=97	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=98	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=99	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=100	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=101	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=102	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=103	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=104	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=105	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=106	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=107	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=108	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=109	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=110	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=111	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=112	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=113	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=114	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=115	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=116	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=117	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=118	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=119	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=120	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=121	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=122	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=123	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=124	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=125	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=126	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=127	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=128	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=129	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=130	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=131	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=132	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=133	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=134	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=135	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=136	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=137	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=138	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=139	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=140	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=141	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=142	fitness=0.000000000000	position=[3.000000, 0.500000]
