seed=14
gen=0	fitness=0.205334440090	position=[2.453772, 0.226008]
gen=1	fitness=0.193555430963	position=[2.579120, 0.262338]
gen=2	fitness=0.010360252348	position=[2.883294, 0.449287]
gen=3	fitness=0.010360252348	position=[2.883294, 0.449287]
gen=4	fitness=0.007428349723	position=[2.926877, 0.463403]
gen=5	fitness=0.002093003170	position=[2.895146, 0.470484]
gen=6	fitness=0.001156343006	position=[3.023181, 0.498943]
gen=7	fitness=0.000512853623	position=[2.952739, 0.485537]
gen=8	fitness=0.000352477340	position=[2.980405, 0.498683]
gen=9	fitness=0.000190371730	position=[3.026350, 0.508317]
gen=10	fitness=0.000047506482	position=[2.987074, 0.497725]
gen=11	fitness=0.000047506482	position=[2.987074, 0.497725]
gen=12	fitness=0.000047506482	position=[2.987074, 0.497725]
gen=13	fitness=0.000020208309	position=[2.998717, 0.500612]
gen=14	fitness=0.000011205081	position=[2.994336, 0.499106]
gen=15	fitness=0.000002076969	position=[2.999882, 0.500271]
gen=16	fitness=0.000000481458	position=[2.998341, 0.499547]
gen=17	fitness=0.000000481458	position=[2.998341, 0.499547]
gen=18	fitness=0.000000021877	position=[3.000053, 0.500044]
gen=19	fitness=0.000000021877	position=[3.000053, 0.500044]
gen=20	fitness=0.000000021877	position=[3.000053, 0.500044]
gen=21	fitness=0.000000021877	position=[3.000053, 0.500044]
gen=22	fitness=0.000000005309	position=[2.999901, 0.499963]
gen=23	fitness=0.000000000666	position=[2.999951, 0.499984]
gen=24	fitness=0.000000000277	position=[2.999976, 0.499991]
gen=25	fitness=0.000000000277	position=[2.999976, 0.499991]
gen=26	fitness=0.000000000156	position=[2.999978, 0.499996]
gen=27	fitness=0.000000000156	position=[2.999978, 0.499996]
gen=28	fitness=0.000000000142	position=[2.999978, 0.499993]
gen=29	fitness=0.000000000081	position=[3.000001, 0.500002]
gen=30	fitness=0.000000000081	position=[3.000001, 0.500002]
gen=31	fitness=0.000000000035	position=[2.999990, 0.499997]
gen=32	fitness=0.000000000003	position=[2.999996, 0.499999]
gen=33	fitness=0.000000000003	position=[2.999996, 0.499999]
gen=34	fitness=0.000000000003	position=[2.999996, 0.499999]
gen=35	fitness=0.000000000001	position=[2.999997, 0.499999]
gen=36	fitness=0.000000000001	position=[3.000001, 0.500000]
gen=37	fitness=0.000000000001	position=[3.000001, 0.500000]
gen=38	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=39	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=40	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=41	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=42	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=43	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=44	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=45	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=46	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=47	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=48	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=49	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=50	fitness=0.000000000000	position=[3.000000, 0.500000]
