seed=23
gen=0	fitness=107.884980083609	position=[3.057666, -1.185516, -4.170486, -3.822336, 0.352228, 0.074795, 0.036196, -3.823547, 2.982816, 0.983565]
gen=1	fitness=107.831476135355	position=[0.952669, -1.053071, 0.913260, -2.946858, -0.744814, -3.049256, -0.083139, -1.513157, -5.120000, 0.527252]
gen=2	fitness=99.962971004024	position=[1.253262, -0.851377, -3.759929, -1.246059, -0.997199, -0.797372, 2.824277, 2.226686, -1.769287, -0.996268]
gen=3	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=4	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=5	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=6	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=7	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=8	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=9	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=10	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=11	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=12	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=13	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=14	fitness=65.758025579284	position=[-0.259464, 0.683273, -0.724939, -0.944199, -0.831212, -0.179168, -0.782795, -0.991761, 0.117299, -1.103496]
gen=15	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=16	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=17	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=18	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=19	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=20	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=21	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=22	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=23	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=24	fitness=61.378214273545	position=[-0.766641, 0.868954, 1.107443, -1.314699, 1.084036, 2.123175, 2.174830, -1.920815, 0.123566, -0.068539]
gen=25	fitness=58.947909728537	position=[-1.787222, -2.103900, 0.893335, 1.084328, -2.012722, -0.135507, 0.288173, 2.028375, 0.209636, -1.949349]
gen=26	fitness=58.947909728537	position=[-1.787222, -2.103900, 0.893335, 1.084328, -2.012722, -0.135507, 0.288173, 2.028375, 0.209636, -1.949349]
gen=27	fitness=58.947909728537	position=[-1.787222, -2.103900, 0.893335, 1.084328, -2.012722, -0.135507, 0.288173, 2.028375, 0.209636, -1.949349]
gen=28	fitness=58.947909728537	position=[-1.787222, -2.103900, 0.893335, 1.084328, -2.012722, -0.135507, 0.288173, 2.028375, 0.209636, -1.949349]
gen=29	fitness=55.947753130089	position=[-1.942053, 1.189133, -3.192291, -0.071403, 0.131505, -1.759369, 0.192603, 0.934594, 0.077905, -0.073647]
gen=30	fitness=55.947753130089	position=[-1.942053, 1.189133, -3.192291, -0.071403, 0.131505, -1.759369, 0.192603, 0.934594, 0.077905, -0.073647]
gen=31	fitness=55.947753130089	position=[-1.942053, 1.189133, -3.192291, -0.071403, 0.131505, -1.759369, 0.192603, 0.934594, 0.077905, -0.073647]
gen=32	fitness=55.947753130089	position=[-1.942053, 1.189133, -3.192291, -0.071403, 0.131505, -1.759369, 0.192603, 0.934594, 0.077905, -0.073647]
gen=33	fitness=55.947753130089	position=[-1.942053, 1.189133, -3.192291, -0.071403, 0.131505, -1.759369, 0.192603, 0.934594, 0.077905, -0.073647]
gen=34	fitness=46.636343526726	position=[0.034967, 0.046820, -2.307933, 0.187743, -0.911147, -0.899135, -0.246046, 0.957847, -0.886183, 1.042502]
gen=35	fitness=46.636343526726	position=[0.034967, 0.046820, -2.307933, 0.187743, -0.911147, -0.899135, -0.246046, 0.957847, -0.886183, 1.042502]
gen=36	fitness=46.636343526726	position=[0.034967, 0.046820, -2.307933, 0.187743, -0.911147, -0.899135, -0.246046, 0.957847, -0.886183, 1.042502]
gen=37	fitness=46.636343526726	position=[0.034967, 0.046820, -2.307933, 0.187743, -0.911147, -0.899135, -0.246046, 0.957847, -0.886183, 1.042502]
gen=38	fitness=43.257465043304	position=[0.032671, 2.823443, 0.002360, -0.182291, 0.159103, -1.091932, 0.987267, -1.139790, -0.009458, 2.902384]
gen=39	fitness=43.257465043304	position=[0.032671, 2.823443, 0.002360, -0.182291, 0.159103, -1.091932, 0.987267, -1.139790, -0.009458, 2.902384]
gen=40	fitness=43.257465043304	position=[0.032671, 2.823443, 0.002360, -0.182291, 0.159103, -1.091932, 0.987267, -1.139790, -0.009458, 2.902384]
gen=41	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=42	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=43	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=44	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=45	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=46	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=47	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=48	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=49	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=50	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=51	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=52	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=53	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=54	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=55	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=56	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=57	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=58	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=59	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=60	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=61	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=62	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=63	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=64	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=65	fitness=34.296735402075	position=[1.000805, 0.962621, 0.172683, 0.141578, 0.256796, -2.022484, -0.907271, -0.083000, -0.984641, 1.109421]
gen=66	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
