seed=32
gen=0	fitness=108.265828327833	position=[3.921787, -4.291015, -1.876732, -1.845828, -1.014877, -0.037272, 5.117932, 2.919679, -1.099731, 1.111226]
gen=1	fitness=97.193075491897	position=[0.186459, -1.907808, -1.582328, -2.822517, 2.289180, 1.111677, -0.164498, 0.432275, -0.005780, 1.151526]
gen=2	fitness=91.627783078885	position=[1.112015, -0.059927, 0.261452, 1.846212, 0.197887, -0.351977, -0.760255, -0.529575, -0.730619, 1.967022]
gen=3	fitness=91.627783078885	position=[1.112015, -0.059927, 0.261452, 1.846212, 0.197887, -0.351977, -0.760255, -0.529575, -0.730619, 1.967022]
gen=4	fitness=79.814495652145	position=[2.831524, 1.927397, -1.159196, -2.688085, -1.064397, -1.011092, -0.784932, -0.926577, 2.988446, 1.267630]
gen=5	fitness=79.814495652145	position=[2.831524, 1.927397, -1.159196, -2.688085, -1.064397, -1.011092, -0.784932, -0.926577, 2.988446, 1.267630]
gen=6	fitness=79.351699343030	position=[2.189617, -1.298685, -2.081064, -0.031673, -0.796627, 0.459215, 2.018284, -0.853822, 1.064717, -3.031558]
gen=7	fitness=72.086541540470	position=[1.082176, 1.749652, 0.120757, 2.018542, 3.100610, 2.935347, 1.174090, -3.162994, -0.104737, 1.918643]
gen=8	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=9	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=10	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=11	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=12	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=13	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=14	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=15	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=16	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
gen=17	fitness=67.726831399933	position=[-2.726988, -0.991888, -2.107988, 1.699818, 0.148951, 2.041931, -0.188654, 1.965716, 2.061364, -1.030410]
