seed=24
gen=0	fitness=120.869143633939	position=[-3.126838, -4.245563, 3.217061, -1.522543, 2.891986, 2.672801, 2.069485, -0.959059, 0.068240, -0.016947]
gen=1	fitness=82.399396782058	position=[2.422252, -1.085633, -0.146848, 2.141872, 0.147141, -0.313467, 0.146598, 0.853861, 0.009344, -1.696182]
gen=2	fitness=82.399396782058	position=[2.422252, -1.085633, -0.146848, 2.141872, 0.147141, -0.313467, 0.146598, 0.853861, 0.009344, -1.696182]
gen=3	fitness=82.399396782058	position=[2.422252, -1.085633, -0.146848, 2.141872, 0.147141, -0.313467, 0.146598, 0.853861, 0.009344, -1.696182]
gen=4	fitness=82.399396782058	position=[2.422252, -1.085633, -0.146848, 2.141872, 0.147141, -0.313467, 0.146598, 0.853861, 0.009344, -1.696182]
gen=5	fitness=77.852901473388	position=[-0.021541, -3.025969, -2.998469, 2.361560, -1.635704, -0.970160, 1.207339, 0.935911, -0.919605, -1.938129]
gen=6	fitness=74.338432847506	position=[1.637869, 0.908668, 0.068735, -1.240204, 0.837460, 1.998649, 0.869953, 0.850206, 0.768230, -1.747063]
gen=7	fitness=74.338432847506	position=[1.637869, 0.908668, 0.068735, -1.240204, 0.837460, 1.998649, 0.869953, 0.850206, 0.768230, -1.747063]
gen=8	fitness=74.338432847506	position=[1.637869, 0.908668, 0.068735, -1.240204, 0.837460, 1.998649, 0.869953, 0.850206, 0.768230, -1.747063]
gen=9	fitness=74.338432847506	position=[1.637869, 0.908668, 0.068735, -1.240204, 0.837460, 1.998649, 0.869953, 0.850206, 0.768230, -1.747063]
gen=10	fitness=73.258153520630	position=[0.111784, 1.189773, 1.873932, -1.059826, 1.489281, -0.095073, 1.752499, 0.906300, 2.106932, 0.777581]
gen=11	fitness=73.258153520630	position=[0.111784, 1.189773, 1.873932, -1.059826, 1.489281, -0.095073, 1.752499, 0.906300, 2.106932, 0.777581]
gen=12	fitness=73.258153520630	position=[0.111784, 1.189773, 1.873932, -1.059826, 1.489281, -0.095073, 1.752499, 0.906300, 2.106932, 0.777581]
gen=13	fitness=66.136887255054	position=[-0.198250, -0.184595, 0.701107, -0.113928, 0.857212, -1.901801, -0.069789, -2.871362, 0.165421, -2.908573]
gen=14	fitness=66.136887255054	position=[-0.198250, -0.184595, 0.701107, -0.113928, 0.857212, -1.901801, -0.069789, -2.871362, 0.165421, -2.908573]
gen=15	fitness=66.136887255054	position=[-0.198250, -0.184595, 0.701107, -0.113928, 0.857212, -1.901801, -0.069789, -2.871362, 0.165421, -2.908573]
gen=16	fitness=58.963166854112	position=[0.830591, -1.703946, -1.043462, 1.020875, -1.142203, -1.200843, -1.960436, 0.039823, -1.262487, 1.938366]
gen=17	fitness=58.963166854112	position=[0.830591, -1.703946, -1.043462, 1.020875, -1.142203, -1.200843, -1.960436, 0.039823, -1.262487, 1.938366]
gen=18	fitness=58.963166854112	position=[0.830591, -1.703946, -1.043462, 1.020875, -1.142203, -1.200843, -1.960436, 0.039823, -1.262487, 1.938366]
gen=19	fitness=58.963166854112	position=[0.830591, -1.703946, -1.043462, 1.020875, -1.142203, -1.200843, -1.960436, 0.039823, -1.262487, 1.938366]
gen=20	fitness=54.263581921364	position=[2.036634, -1.916729, -0.988689, 2.276671, 1.125122, -0.981544, 1.093758, 0.105186, -1.847360, -0.774162]
gen=21	fitness=54.263581921364	position=[2.036634, -1.916729, -0.988689, 2.276671, 1.125122, -0.981544, 1.093758, 0.105186, -1.847360, -0.774162]
gen=22	fitness=54.263581921364	position=[2.036634, -1.916729, -0.988689, 2.276671, 1.125122, -0.981544, 1.093758, 0.105186, -1.847360, -0.774162]
gen=23	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=24	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=25	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=26	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=27	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=28	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=29	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=30	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=31	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=32	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=33	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=34	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=35	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=36	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=37	fitness=47.341063601114	position=[0.185340, 0.106612, 0.972740, 2.844147, 0.159439, 1.019808, -1.201913, 0.223899, -0.962702, -0.937521]
gen=38	fitness=43.978064879938	position=[0.689756, -1.055737, -1.250148, 0.923843, 0.030968, -0.835232, -0.175374, -0.077206, -1.015519, 0.989086]
gen=39	fitness=43.978064879938	position=[0.689756, -1.055737, -1.250148, 0.923843, 0.030968, -0.835232, -0.175374, -0.077206, -1.015519, 0.989086]
gen=40	fitness=43.978064879938	position=[0.689756, -1.055737, -1.250148, 0.923843, 0.030968, -0.835232, -0.175374, -0.077206, -1.015519, 0.989086]
gen=41	fitness=43.978064879938	position=[0.689756, -1.055737, -1.250148, 0.923843, 0.030968, -0.835232, -0.175374, -0.077206, -1.015519, 0.989086]
gen=42	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=43	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=44	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=45	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=46	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=47	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=48	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=49	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=50	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=51	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=52	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=53	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=54	fitness=42.191875611541	position=[1.990719, -1.829325, 0.039481, 0.954041, -0.980097, 0.020186, 2.082500, -1.051339, 0.441817, -0.021139]
gen=55	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=56	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=57	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=58	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=59	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=60	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=61	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
gen=62	fitness=29.328157301798	position=[-1.062736, 1.050915, -0.022544, 1.934897, 2.967370, 1.003509, 1.922556, -0.841985, -0.010736, 1.000409]
