seed=25
gen=0	fitness=104.478557999482	position=[-1.843127, 2.985794, -0.107304, -2.085369, 1.044083, -2.847223, -1.166616, -5.052440, -1.452292, -3.105645]
gen=1	fitness=101.082209515052	position=[0.258054, 5.120000, 2.186573, -1.027140, -1.041936, 2.986981, 0.817412, 5.120000, 1.056551, 1.061902]
gen=2	fitness=101.082209515052	position=[0.258054, 5.120000, 2.186573, -1.027140, -1.041936, 2.986981, 0.817412, 5.120000, 1.056551, 1.061902]
gen=3	fitness=97.396802664298	position=[-0.080842, -2.109513, -0.387651, 2.236848, 3.022934, 0.815718, -2.274489, 3.192742, -0.198480, 0.953566]
gen=4	fitness=96.504517747935	position=[1.852244, -2.193055, 2.873459, -1.135560, 2.144996, 2.006680, 0.247659, -2.021066, -1.879058, -5.120000]
gen=5	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=6	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=7	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=8	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=9	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=10	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=11	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=12	fitness=61.753811607419	position=[0.882183, 0.826479, -2.013238, -1.877924, 0.582915, 0.040807, -0.249519, 0.890901, 0.873643, -0.178769]
gen=13	fitness=61.013171995575	position=[1.991511, -0.108631, -0.944660, -1.090096, -0.767966, -0.938480, 0.835507, -0.416679, 0.933451, 2.223887]
gen=14	fitness=59.329373211844	position=[-0.205831, -1.915956, -0.762437, -0.858197, 0.863621, -1.071005, 0.928063, 0.879856, 0.362918, -1.942603]
gen=15	fitness=59.329373211844	position=[-0.205831, -1.915956, -0.762437, -0.858197, 0.863621, -1.071005, 0.928063, 0.879856, 0.362918, -1.942603]
gen=16	fitness=59.329373211844	position=[-0.205831, -1.915956, -0.762437, -0.858197, 0.863621, -1.071005, 0.928063, 0.879856, 0.362918, -1.942603]
gen=17	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=18	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=19	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=20	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=21	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=22	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=23	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
gen=24	fitness=41.403473243808	position=[-0.135225, -1.139161, -1.017640, 0.129814, -0.139175, -0.043480, 1.916093, -0.238340, -0.018319, 0.256062]
