seed=26
gen=0	fitness=123.952632680419	position=[0.247213, 0.194558, 2.949619, 3.996231, -3.239827, -3.955619, -2.094508, 1.091624, -4.154633, 1.317620]
gen=1	fitness=117.745487471051	position=[-5.120000, 5.120000, -3.099473, -0.113072, -2.273360, -0.862902, 1.050118, 0.024150, -1.790006, -0.291750]
gen=2	fitness=73.908197997715	position=[-0.897661, 2.871884, 0.107400, -0.140050, 1.021509, -0.818422, -1.813351, -1.843882, 4.018324, -2.216731]
gen=3	fitness=73.908197997715	position=[-0.897661, 2.871884, 0.107400, -0.140050, 1.021509, -0.818422, -1.813351, -1.843882, 4.018324, -2.216731]
gen=4	fitness=73.908197997715	position=[-0.897661, 2.871884, 0.107400, -0.140050, 1.021509, -0.818422, -1.813351, -1.843882, 4.018324, -2.216731]
gen=5	fitness=73.908197997715	position=[-0.897661, 2.871884, 0.107400, -0.140050, 1.021509, -0.818422, -1.813351, -1.843882, 4.018324, -2.216731]
gen=6	fitness=73.908197997715	position=[-0.897661, 2.871884, 0.107400, -0.140050, 1.021509, -0.818422, -1.813351, -1.843882, 4.018324, -2.216731]
gen=7	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=8	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=9	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=10	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=11	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=12	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=13	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=14	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=15	fitness=60.002188097473	position=[-1.199972, 0.067169, -1.278311, -1.097835, 2.211561, 1.010151, 1.211979, 1.979943, 1.033106, -1.167488]
gen=16	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=17	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=18	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=19	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=20	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=21	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=22	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=23	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=24	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=25	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=26	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=27	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=28	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=29	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=30	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=31	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=32	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=33	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
gen=34	fitness=39.885424006488	position=[-0.799753, 0.801289, -0.043134, -0.050400, -0.907887, -2.046811, -0.022637, -2.000469, -0.109403, -0.750669]
