seed=29
gen=0	fitness=109.992429584224	position=[-1.273255, 0.068512, -0.783845, 3.031142, 3.075657, -1.556177, -0.066584, -5.106273, 1.018083, -0.341469]
gen=1	fitness=87.102169131631	position=[-5.120000, 2.981934, -1.101408, -0.952258, 1.053162, -0.320798, -0.251961, 0.721523, -1.030104, -1.920956]
gen=2	fitness=87.102169131631	position=[-5.120000, 2.981934, -1.101408, -0.952258, 1.053162, -0.320798, -0.251961, 0.721523, -1.030104, -1.920956]
gen=3	fitness=81.933718559392	position=[-0.823876, -5.120000, 1.816057, -2.078818, 0.015807, -1.973280, 0.143159, -0.230166, 0.747471, 0.158857]
gen=4	fitness=81.933718559392	position=[-0.823876, -5.120000, 1.816057, -2.078818, 0.015807, -1.973280, 0.143159, -0.230166, 0.747471, 0.158857]
gen=5	fitness=81.933718559392	position=[-0.823876, -5.120000, 1.816057, -2.078818, 0.015807, -1.973280, 0.143159, -0.230166, 0.747471, 0.158857]
gen=6	fitness=67.928594853376	position=[-0.184092, 0.002383, -1.991462, 1.477002, -0.848480, 0.968074, -0.217772, -4.014149, 1.975855, 1.050113]
gen=7	fitness=67.928594853376	position=[-0.184092, 0.002383, -1.991462, 1.477002, -0.848480, 0.968074, -0.217772, -4.014149, 1.975855, 1.050113]
gen=8	fitness=67.928594853376	position=[-0.184092, 0.002383, -1.991462, 1.477002, -0.848480, 0.968074, -0.217772, -4.014149, 1.975855, 1.050113]
gen=9	fitness=67.592252186731	position=[0.025065, -1.133021, -0.147432, -0.837257, -2.034635, 1.410329, 0.799428, -0.876742, 0.839386, 1.768204]
gen=10	fitness=67.592252186731	position=[0.025065, -1.133021, -0.147432, -0.837257, -2.034635, 1.410329, 0.799428, -0.876742, 0.839386, 1.768204]
gen=11	fitness=67.592252186731	position=[0.025065, -1.133021, -0.147432, -0.837257, -2.034635, 1.410329, 0.799428, -0.876742, 0.839386, 1.768204]
gen=12	fitness=67.592252186731	position=[0.025065, -1.133021, -0.147432, -0.837257, -2.034635, 1.410329, 0.799428, -0.876742, 0.839386, 1.768204]
gen=13	fitness=63.131419325462	position=[-1.072311, -1.714641, 0.059228, -1.094287, -1.899466, 0.263706, -1.846886, -0.206880, 2.933325, 1.030047]
gen=14	fitness=63.131419325462	position=[-1.072311, -1.714641, 0.059228, -1.094287, -1.899466, 0.263706, -1.846886, -0.206880, 2.933325, 1.030047]
gen=15	fitness=63.131419325462	position=[-1.072311, -1.714641, 0.059228, -1.094287, -1.899466, 0.263706, -1.846886, -0.206880, 2.933325, 1.030047]
gen=16	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=17	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=18	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=19	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=20	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=21	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=22	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=23	fitness=54.858753148336	position=[0.161764, -1.216477, 0.200670, 2.979619, 0.841426, 1.990092, 1.109576, 0.050357, 0.123080, 1.827967]
gen=24	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=25	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=26	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=27	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=28	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=29	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=30	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=31	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=32	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
gen=33	fitness=47.863512149238	position=[0.922027, -1.253243, -0.016578, -0.172535, 0.177251, -0.065108, -1.007370, -0.753962, -0.238284, 1.047636]
