seed=31
gen=0	fitness=95.532879582370	position=[4.147988, 0.019944, -0.105454, -2.419418, 0.908298, -0.821367, -2.424220, 0.065213, 0.979530, -2.205191]
gen=1	fitness=95.249465106787	position=[-0.158168, 0.023078, 2.036582, 4.331644, -0.656527, -0.811205, 0.169889, -0.905911, 1.886183, -2.779494]
gen=2	fitness=95.249465106787	position=[-0.158168, 0.023078, 2.036582, 4.331644, -0.656527, -0.811205, 0.169889, -0.905911, 1.886183, -2.779494]
gen=3	fitness=90.101423123452	position=[1.101322, 2.809293, -2.707030, 1.138465, 1.410910, 1.077233, 1.873032, -1.061692, 0.695310, 0.121918]
gen=4	fitness=90.101423123452	position=[1.101322, 2.809293, -2.707030, 1.138465, 1.410910, 1.077233, 1.873032, -1.061692, 0.695310, 0.121918]
gen=5	fitness=90.101423123452	position=[1.101322, 2.809293, -2.707030, 1.138465, 1.410910, 1.077233, 1.873032, -1.061692, 0.695310, 0.121918]
gen=6	fitness=90.101423123452	position=[1.101322, 2.809293, -2.707030, 1.138465, 1.410910, 1.077233, 1.873032, -1.061692, 0.695310, 0.121918]
gen=7	fitness=90.101423123452	position=[1.101322, 2.809293, -2.707030, 1.138465, 1.410910, 1.077233, 1.873032, -1.061692, 0.695310, 0.121918]
gen=8	fitness=88.747136493025	position=[-2.698855, 2.071683, -0.185917, 0.907466, 2.021094, 0.998523, 5.120000, 1.193941, 1.986283, -0.785912]
gen=9	fitness=74.681712052295	position=[-2.109989, -1.119054, 2.106838, 2.111527, -0.927961, 0.525781, -2.235732, -1.056927, -3.102199, -0.971101]
gen=10	fitness=70.203479761227	position=[-0.077322, 0.864133, 1.236210, 0.165052, 0.729983, -5.120000, -0.031454, -0.136403, 0.870929, 1.004552]
gen=11	fitness=70.203479761227	position=[-0.077322, 0.864133, 1.236210, 0.165052, 0.729983, -5.120000, -0.031454, -0.136403, 0.870929, 1.004552]
gen=12	fitness=70.203479761227	position=[-0.077322, 0.864133, 1.236210, 0.165052, 0.729983, -5.120000, -0.031454, -0.136403, 0.870929, 1.004552]
gen=13	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
gen=14	fitness=52.307945950285	position=[0.037375, 0.867816, 0.299478, 2.105198, -3.115600, -0.068139, 0.162574, -0.940896, 0.073977, -0.213307]
