seed=23
gen=0	fitness=96.504260869302	chromosome=1100101001001010011011001010110111001001110011010010000010110011010011010100000001101011010110000001110111001111001100100000011011001001111111110111111101000110	decoded=[2.971686, -0.772902, 2.952154, -3.812011, -2.029953, -0.826184, -3.927638, -3.119032, 2.959967, -0.028985]
gen=1	fitness=88.738344256397	chromosome=1001100010010110011101110101011110110000010101101000000101110100101100111011001011010011001111011000000111101111011110110001011010001101110001010101000111101101	decoded=[0.983531, -0.346333, 1.933545, 0.058204, 2.067922, 3.329660, 0.077423, -0.196487, 0.550868, -1.842919]
gen=2	fitness=72.087032834803	chromosome=0111111100111111011010101111101001000111100010111000000011011111110100011101010010011000010111011000000001001011011110111011010010011101010111000111011110001110	decoded=[-0.030079, -0.840872, -2.258238, 0.034922, 3.273253, 0.974624, 0.011797, -0.171799, 1.174471, -0.337740]
gen=3	fitness=42.674044428624	chromosome=0100110101010110011010101000000010011000011100011001101011100110111000101010100110110000010100010110100101101001100110000010111101111101101111000111110000000001	decoded=[-2.026515, -0.859935, 0.977749, 1.076032, 3.946545, 1.932764, -0.903529, 0.967437, -0.090548, -0.159768]
gen=4	fitness=42.674044428624	chromosome=0100110101010110011010101000000010011000011100011001101011100110111000101010100110110000010100010110100101101001100110000010111101111101101111000111110000000001	decoded=[-2.026515, -0.859935, 0.977749, 1.076032, 3.946545, 1.932764, -0.903529, 0.967437, -0.090548, -0.159768]
gen=5	fitness=42.674044428624	chromosome=0100110101010110011010101000000010011000011100011001101011100110111000101010100110110000010100010110100101101001100110000010111101111101101111000111110000000001	decoded=[-2.026515, -0.859935, 0.977749, 1.076032, 3.946545, 1.932764, -0.903529, 0.967437, -0.090548, -0.159768]
gen=6	fitness=42.674044428624	chromosome=0100110101010110011010101000000010011000011100011001101011100110111000101010100110110000010100010110100101101001100110000010111101111101101111000111110000000001	decoded=[-2.026515, -0.859935, 0.977749, 1.076032, 3.946545, 1.932764, -0.903529, 0.967437, -0.090548, -0.159768]
gen=7	fitness=38.673265080867	chromosome=0111110011001001011010010101011110101110111000100111111100010101100110101100111001100100000101100110100101011001100110101010101110011101101111110110110001000001	decoded=[-0.128518, -0.906342, 1.875419, -0.036641, 1.072282, -1.116501, -0.906029, 1.066813, 1.189940, -0.789778]
gen=8	fitness=35.070717892359	chromosome=1001101010110111110011010001010110110000001001111000000011110100010011111111000110010101111111110110010000011010011111011000110010011010110001111001100011001010	decoded=[1.068688, 3.083406, 1.926201, 0.038204, -1.922295, 0.879935, -1.115876, -0.098048, 1.071188, 0.991656]
gen=9	fitness=33.097624625474	chromosome=1011001110010110100000010100000010110000011110000111111000100110100000111011001111001000111010110111111010100010010011000110011001100101111111111001100001011110	decoded=[2.063547, 0.050079, 1.938858, -0.073986, 0.148049, 2.916841, -0.054610, -2.064016, -1.040094, 0.974780]
gen=10	fitness=33.097624625474	chromosome=1011001110010110100000010100000010110000011110000111111000100110100000111011001111001000111010110111111010100010010011000110011001100101111111111001100001011110	decoded=[2.063547, 0.050079, 1.938858, -0.073986, 0.148049, 2.916841, -0.054610, -2.064016, -1.040094, 0.974780]
gen=11	fitness=31.024445459002	chromosome=0111110011101101011010011101011110101110111000100111111100010101100110101111000110010101111110110110010000011010011111011000110010011100110001111001100111001110	decoded=[-0.122893, -0.886342, 1.875419, -0.036641, 1.077751, 0.879310, -1.115876, -0.098048, 1.151189, 1.032281]
gen=12	fitness=25.377039365133	chromosome=0110011011010111011111100001011101111110101100011001101011100010011000101010110110110010010100010110100101111111100110000010111101111101100111000111110001010001	decoded=[-1.006343, -0.076329, -0.052266, 1.075407, -1.172909, 2.012765, -0.900092, 0.967437, -0.095548, -0.147268]
gen=13	fitness=25.377039365133	chromosome=0110011011010111011111100001011101111110101100011001101011100010011000101010110110110010010100010110100101111111100110000010111101111101100111000111110001010001	decoded=[-1.006343, -0.076329, -0.052266, 1.075407, -1.172909, 2.012765, -0.900092, 0.967437, -0.095548, -0.147268]
gen=14	fitness=25.377039365133	chromosome=0110011011010111011111100001011101111110101100011001101011100010011000101010110110110010010100010110100101111111100110000010111101111101100111000111110001010001	decoded=[-1.006343, -0.076329, -0.052266, 1.075407, -1.172909, 2.012765, -0.900092, 0.967437, -0.095548, -0.147268]
gen=15	fitness=25.377039365133	chromosome=0110011011010111011111100001011101111110101100011001101011100010011000101010110110110010010100010110100101111111100110000010111101111101100111000111110001010001	decoded=[-1.006343, -0.076329, -0.052266, 1.075407, -1.172909, 2.012765, -0.900092, 0.967437, -0.095548, -0.147268]
gen=16	fitness=25.377039365133	chromosome=0110011011010111011111100001011101111110101100011001101011100010011000101010110110110010010100010110100101111111100110000010111101111101100111000111110001010001	decoded=[-1.006343, -0.076329, -0.052266, 1.075407, -1.172909, 2.012765, -0.900092, 0.967437, -0.095548, -0.147268]
gen=17	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=18	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=19	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=20	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=21	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=22	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=23	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=24	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=25	fitness=19.227116053420	chromosome=0110011011010111011110101001011101111110111010110111111110110111100110111100110001100110010000000111110101001101100110011000111101111101101100001000000000010111	decoded=[-1.006343, -0.216331, -0.043204, -0.011328, 1.111970, -1.029938, -0.107892, 1.022437, -0.092423, 0.003672]
gen=26	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=27	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=28	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=29	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=30	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=31	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
gen=32	fitness=16.578944959631	chromosome=0110010111011100011010000001111101100010110001101000000011011000100000011001011010011000110011110111111000110010100110000101001001100101110110111001101001010010	decoded=[-1.045563, -0.955093, -1.169002, 0.033829, 0.063517, 0.992437, -0.072110, 0.972905, -1.045719, 1.052907]
