seed=24
gen=0	fitness=87.353316583801	chromosome=1000010001010111100110010110011101101011100111011011100010100110111000001101111010010011011010001001111011000110001100111010100110010110011000111000010101110010	decoded=[0.173675, 1.016187, -0.815403, 2.266050, 3.874825, 0.776340, 1.231034, -3.053562, 0.895561, 0.217894]
gen=1	fitness=83.392283147623	chromosome=0110011000001110010001000010001010001001101101100111101101001000011001101100011001111101111110111010110010100101010011010101101110010100110001011001111100001011	decoded=[-1.037750, -2.394646, 0.388522, -0.188675, -1.009000, -0.080704, 1.785887, -2.025734, 0.830872, 1.241816]
gen=2	fitness=65.826859418060	chromosome=1001110001110110011100001110101011100000010110110111110101111101100101010011110011001011011101111001100000000001010011010000111101100101001000111000000000101101	decoded=[1.138533, -0.603369, 3.854356, -0.100392, 0.849466, 3.018718, 0.960249, -2.037609, -1.074470, 0.007109]
gen=3	fitness=51.380144474604	chromosome=1011001110101100010101110101001001100111100101001011000110101011110010011101001010010111011101111001110000000001010011010000111101100101000000111000000000101101	decoded=[2.066985, -1.627134, -0.976812, 1.986827, 2.952936, 0.938686, 1.120251, -2.037609, -1.079470, 0.007109]
gen=4	fitness=51.380144474604	chromosome=1011001110101100010101110101001001100111100101001011000110101011110010011101001010010111011101111001110000000001010011010000111101100101000000111000000000101101	decoded=[2.066985, -1.627134, -0.976812, 1.986827, 2.952936, 0.938686, 1.120251, -2.037609, -1.079470, 0.007109]
gen=5	fitness=51.380144474604	chromosome=1011001110101100010101110101001001100111100101001011000110101011110010011101001010010111011101111001110000000001010011010000111101100101000000111000000000101101	decoded=[2.066985, -1.627134, -0.976812, 1.986827, 2.952936, 0.938686, 1.120251, -2.037609, -1.079470, 0.007109]
gen=6	fitness=51.380144474604	chromosome=1011001110101100010101110101001001100111100101001011000110101011110010011101001010010111011101111001110000000001010011010000111101100101000000111000000000101101	decoded=[2.066985, -1.627134, -0.976812, 1.986827, 2.952936, 0.938686, 1.120251, -2.037609, -1.079470, 0.007109]
gen=7	fitness=51.380144474604	chromosome=1011001110101100010101110101001001100111100101001011000110101011110010011101001010010111011101111001110000000001010011010000111101100101000000111000000000101101	decoded=[2.066985, -1.627134, -0.976812, 1.986827, 2.952936, 0.938686, 1.120251, -2.037609, -1.079470, 0.007109]
gen=8	fitness=46.431294588616	chromosome=1001100011001010010011000001001001001111010001000110000010110001101011011100111010011001000010101001110100010010100000010001100101010001000101111000001001001001	decoded=[0.991656, -2.077141, -1.949327, -1.252285, 1.832294, 1.001656, 1.162908, 0.043985, -1.876357, 0.091486]
gen=9	fitness=44.230543252821	chromosome=0110011110010101100000011110011101001010111110011011001110010010010100011010010010011001001011001000010111100110100111010000001101100110101111110100110001010001	decoded=[-0.976656, 0.076173, -2.121048, 2.062922, -1.854325, 1.006968, 0.236019, 1.160565, -1.010094, -2.067297]
gen=10	fitness=44.230543252821	chromosome=0110011110010101100000011110011101001010111110011011001110010010010100011010010010011001001011001000010111100110100111010000001101100110101111110100110001010001	decoded=[-0.976656, 0.076173, -2.121048, 2.062922, -1.854325, 1.006968, 0.236019, 1.160565, -1.010094, -2.067297]
gen=11	fitness=40.706552758869	chromosome=0101001000011100011111011101100110011000000111110011010101111000100110100111010010011011000001000110101000010110100101010001110110011011111110010100111010100001	decoded=[-1.835575, -0.086017, 0.964937, -2.981217, 1.058219, 1.080720, -0.876498, 0.844622, 1.119001, -1.974796]
