seed=27
gen=0	fitness=89.754001541550	chromosome=0110101000111101000000110111101001010011101010100100110110001010101011100100001101100011110010101001100000010011100000111100000010011010000001111111100111111111	decoded=[-0.870404, -4.980935, -1.773386, -2.018390, 1.850575, -1.128377, 0.963062, 0.150080, 1.041188, 4.879996]
gen=1	fitness=66.107007974382	chromosome=0110010011010111011110101001010010010101000011010011101011101011101100010011001101101000001011000111011000001000100110110101110001100100110000110110101001101100	decoded=[-1.086345, -0.216800, 0.842122, -2.763245, 1.968077, -0.953061, -0.398678, 1.094470, -1.089470, -0.863060]
gen=2	fitness=61.811721156591	chromosome=0110010011010011011110101001010010010101000011010111111111101011101101000010001101101000001111000111011000011000100110010101011001100100110000110011000000010110	decoded=[-1.086970, -0.216800, 0.842122, -0.003203, 2.085579, -0.950561, -0.396178, 1.013531, -1.089470, -3.196533]
gen=3	fitness=61.811721156591	chromosome=0110010011010011011110101001010010010101000011010111111111101011101101000010001101101000001111000111011000011000100110010101011001100100110000110011000000010110	decoded=[-1.086970, -0.216800, 0.842122, -0.003203, 2.085579, -0.950561, -0.396178, 1.013531, -1.089470, -3.196533]
gen=4	fitness=46.779821011413	chromosome=1010111010000000100110001010110110010101110100001000010011001011001101011100111101001110110010000110011010100101011111000100100001100100100101001000010100011011	decoded=[1.860107, 0.987124, 0.872591, 0.191800, -2.967623, -1.968702, -1.014156, -0.148674, -1.096814, 0.204300]
gen=5	fitness=46.779821011413	chromosome=1010111010000000100110001010110110010101110100001000010011001011001101011100111101001110110010000110011010100101011111000100100001100100100101001000010100011011	decoded=[1.860107, 0.987124, 0.872591, 0.191800, -2.967623, -1.968702, -1.014156, -0.148674, -1.096814, 0.204300]
gen=6	fitness=35.659627689039	chromosome=0111110010000110100101110010000101101000111011001001011100100011100101101101111001101011000111001100100100100011100101011111111010110001100111011001100111001110	decoded=[-0.138986, 0.925248, -0.923061, 0.925561, 0.914780, -0.835560, 2.925592, 0.879779, 1.984640, 1.032281]
gen=7	fitness=35.659627689039	chromosome=0111110010000110100101110010000101101000111011001001011100100011100101101101111001101011000111001100100100100011100101011111111010110001100111011001100111001110	decoded=[-0.138986, 0.925248, -0.923061, 0.925561, 0.914780, -0.835560, 2.925592, 0.879779, 1.984640, 1.032281]
gen=8	fitness=30.867499114466	chromosome=1011001110001001100001000001110110000010101100000111111101010110011001110000000010011001110101101001011010110000100000001110101010010001111000100111111001000110	decoded=[2.061516, 0.164612, 0.107580, -0.026485, -0.999937, 1.033531, 0.907592, 0.036641, 0.715402, -0.068985]
gen=9	fitness=30.867499114466	chromosome=1011001110001001100001000001110110000010101100000111111101010110011001110000000010011001110101101001011010110000100000001110101010010001111000100111111001000110	decoded=[2.061516, 0.164612, 0.107580, -0.026485, -0.999937, 1.033531, 0.907592, 0.036641, 0.715402, -0.068985]
gen=10	fitness=30.867499114466	chromosome=1011001110001001100001000001110110000010101100000111111101010110011001110000000010011001110101101001011010110000100000001110101010010001111000100111111001000110	decoded=[2.061516, 0.164612, 0.107580, -0.026485, -0.999937, 1.033531, 0.907592, 0.036641, 0.715402, -0.068985]
gen=11	fitness=30.867499114466	chromosome=1011001110001001100001000001110110000010101100000111111101010110011001110000000010011001110101101001011010110000100000001110101010010001111000100111111001000110	decoded=[2.061516, 0.164612, 0.107580, -0.026485, -0.999937, 1.033531, 0.907592, 0.036641, 0.715402, -0.068985]
gen=12	fitness=30.867499114466	chromosome=1011001110001001100001000001110110000010101100000111111101010110011001110000000010011001110101101001011010110000100000001110101010010001111000100111111001000110	decoded=[2.061516, 0.164612, 0.107580, -0.026485, -0.999937, 1.033531, 0.907592, 0.036641, 0.715402, -0.068985]
gen=13	fitness=26.149299264128	chromosome=0111111100100111011001111000010110011011000011010110001011101001101100011011100101101000001110100111111100101101010011100001110001111110100100001001010010101110	decoded=[-0.033829, -0.979156, 1.082126, -1.163533, 1.989015, -0.950874, -0.032891, -1.995577, -0.057423, 0.827278]
gen=14	fitness=26.149299264128	chromosome=0111111100100111011001111000010110011011000011010110001011101001101100011011100101101000001110100111111100101101010011100001110001111110100100001001010010101110	decoded=[-0.033829, -0.979156, 1.082126, -1.163533, 1.989015, -0.950874, -0.032891, -1.995577, -0.057423, 0.827278]
gen=15	fitness=21.136231645146	chromosome=0110011100101000011111110101101101101001110000110100110110000010100101101001110101101001101111000111111010110111101100011100000010000001111100010111110111010110	decoded=[-0.993687, -0.025704, -0.889467, -2.019640, 0.904623, -0.890560, -0.051329, 1.990108, 0.077736, -0.086486]
gen=16	fitness=21.136231645146	chromosome=0110011100101000011111110101101101101001110000110100110110000010100101101001110101101001101111000111111010110111101100011100000010000001111100010111110111010110	decoded=[-0.993687, -0.025704, -0.889467, -2.019640, 0.904623, -0.890560, -0.051329, 1.990108, 0.077736, -0.086486]
gen=17	fitness=21.136231645146	chromosome=0110011100101000011111110101101101101001110000110100110110000010100101101001110101101001101111000111111010110111101100011100000010000001111100010111110111010110	decoded=[-0.993687, -0.025704, -0.889467, -2.019640, 0.904623, -0.890560, -0.051329, 1.990108, 0.077736, -0.086486]
gen=18	fitness=21.136231645146	chromosome=0110011100101000011111110101101101101001110000110100110110000010100101101001110101101001101111000111111010110111101100011100000010000001111100010111110111010110	decoded=[-0.993687, -0.025704, -0.889467, -2.019640, 0.904623, -0.890560, -0.051329, 1.990108, 0.077736, -0.086486]
gen=19	fitness=21.136231645146	chromosome=0110011100101000011111110101101101101001110000110100110110000010100101101001110101101001101111000111111010110111101100011100000010000001111100010111110111010110	decoded=[-0.993687, -0.025704, -0.889467, -2.019640, 0.904623, -0.890560, -0.051329, 1.990108, 0.077736, -0.086486]
gen=20	fitness=20.684970058401	chromosome=0111111001000111011001110101010110011001011000000111111101100100011111011100001001111101011110011000000001110010100110011101000010000011010000111000011000001000	decoded=[-0.068829, -0.986656, 1.015094, -0.024297, -0.089611, -0.101017, 0.017891, 1.032594, 0.130549, 0.241332]
gen=21	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=22	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=23	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=24	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=25	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=26	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=27	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=28	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=29	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=30	fitness=14.702932049253	chromosome=1011000110101000100000000101111010000001000011011000001010011000010011110101000010010110111001001000000001111010100000011101111010000001000000101000000011011110	decoded=[1.986358, 0.014766, 0.042110, 0.103830, -1.947452, 0.915717, 0.019141, 0.074767, 0.040391, 0.034766]
gen=31	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=32	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=33	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=34	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=35	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=36	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=37	fitness=13.262765556334	chromosome=1001010101101101100000000001000110000001101111000111111101010111011001110000000010011001110001001001011001100010100000001111001010010111111100101001100011111111	decoded=[0.857122, 0.002734, 0.069454, -0.026329, -0.999937, 1.030719, 0.895404, 0.037891, 0.957905, 0.999937]
gen=38	fitness=12.537479676640	chromosome=0110011100101001011111110111000110011011001010000111111101011101011001110100010010010111011110110111111110011001100110010011011001010000000000001000000010001001	decoded=[-0.993531, -0.022266, 1.086345, -0.025391, -0.989312, 0.939311, -0.016016, 1.008531, -1.919951, 0.021485]
gen=39	fitness=12.537479676640	chromosome=0110011100101001011111110111000110011011001010000111111101011101011001110100010010010111011110110111111110011001100110010011011001010000000000001000000010001001	decoded=[-0.993531, -0.022266, 1.086345, -0.025391, -0.989312, 0.939311, -0.016016, 1.008531, -1.919951, 0.021485]
