seed=28
gen=0	fitness=62.452881631583	chromosome=1000001110100010100101101011111001111011111001001001101101000011011110100100110010011001101000000111111010101001110010011111100101101011101101111010011001110000	decoded=[0.145393, 0.909780, -0.164299, 1.090564, -0.228050, 1.025094, -0.053516, 2.959030, -0.811341, 1.537602]
gen=1	fitness=55.040740587037	chromosome=1000001010100010100101101011111001111101111001001001101101101011111110100110110110011001101100000111111010101001110010011101100101101011110010100110100100010100	decoded=[0.105392, 0.909780, -0.084298, 1.096814, 4.897184, 1.027594, -0.053516, 2.954029, -0.808372, -0.916811]
gen=2	fitness=55.040740587037	chromosome=1000001010100010100101101011111001111101111001001001101101101011111110100110110110011001101100000111111010101001110010011101100101101011110010100110100100010100	decoded=[0.105392, 0.909780, -0.084298, 1.096814, 4.897184, 1.027594, -0.053516, 2.954029, -0.808372, -0.916811]
gen=3	fitness=55.040740587037	chromosome=1000001010100010100101101011111001111101111001001001101101101011111110100110110110011001101100000111111010101001110010011101100101101011110010100110100100010100	decoded=[0.105392, 0.909780, -0.084298, 1.096814, 4.897184, 1.027594, -0.053516, 2.954029, -0.808372, -0.916811]
gen=4	fitness=43.468254847713	chromosome=0110101111101011011110111010110110110000011001011011100011101111011010000010100001111101100110100110100011101101100101110110111001111110101011010110010101011001	decoded=[-0.803215, -0.172893, 1.935889, 2.277457, -0.953686, -0.095861, -0.922905, 0.937280, -0.052891, -1.066032]
gen=5	fitness=43.468254847713	chromosome=0110101111101011011110111010110110110000011001011011100011101111011010000010100001111101100110100110100011101101100101110110111001111110101011010110010101011001	decoded=[-0.803215, -0.172893, 1.935889, 2.277457, -0.953686, -0.095861, -0.922905, 0.937280, -0.052891, -1.066032]
gen=6	fitness=41.847642662138	chromosome=1000001000110111101100100101111001111110100010111100110110001010100000100111001010010110111101101100110100001111101100011111100010110001011101110111111000001100	decoded=[0.088673, 2.014796, -0.058204, 3.101688, 0.097892, 0.918530, 3.082469, 1.998859, 1.978702, -0.078048]
gen=7	fitness=28.747341951418	chromosome=1000000110110010101100100111100110011001011000110100101110011010100110110000010010011011011001101000000100111001011111001110110110010111101111010111101101000000	decoded=[0.067892, 2.019015, 1.015562, -2.095891, 1.080720, 1.096032, 0.048985, -0.122893, 0.949624, -0.189925]
gen=8	fitness=28.747341951418	chromosome=1000000110110010101100100111100110011001011000110100101110011010100110110000010010011011011001101000000100111001011111001110110110010111101111010111101101000000	decoded=[0.067892, 2.019015, 1.015562, -2.095891, 1.080720, 1.096032, 0.048985, -0.122893, 0.949624, -0.189925]
gen=9	fitness=28.747341951418	chromosome=1000000110110010101100100111100110011001011000110100101110011010100110110000010010011011011001101000000100111001011111001110110110010111101111010111101101000000	decoded=[0.067892, 2.019015, 1.015562, -2.095891, 1.080720, 1.096032, 0.048985, -0.122893, 0.949624, -0.189925]
gen=10	fitness=28.747341951418	chromosome=1000000110110010101100100111100110011001011000110100101110011010100110110000010010011011011001101000000100111001011111001110110110010111101111010111101101000000	decoded=[0.067892, 2.019015, 1.015562, -2.095891, 1.080720, 1.096032, 0.048985, -0.122893, 0.949624, -0.189925]
gen=11	fitness=28.747341951418	chromosome=1000000110110010101100100111100110011001011000110100101110011010100110110000010010011011011001101000000100111001011111001110110110010111101111010111101101000000	decoded=[0.067892, 2.019015, 1.015562, -2.095891, 1.080720, 1.096032, 0.048985, -0.122893, 0.949624, -0.189925]
gen=12	fitness=26.382525837267	chromosome=0110010111010111011001001000001001101001101101101001011011000011100000100100010001100110000111110110011101101111101101001011110101100111010010111011001101000010	decoded=[-1.046344, -1.099626, -0.891498, 0.910561, 0.090705, -1.035094, -0.982593, 2.109642, -0.988218, 2.050422]
gen=13	fitness=25.929345136836	chromosome=0111110110011110100000000100010010011110010000001001101100101001011111111001111010011001100000100110100010100110100101000110001101111101101001111001011111100000	decoded=[-0.095236, 0.010703, 1.210097, 1.086501, -0.015235, 1.020406, -0.933999, 0.815559, -0.093830, 0.955093]
gen=14	fitness=25.929345136836	chromosome=0111110110011110100000000100010010011110010000001001101100101001011111111001111010011001100000100110100010100110100101000110001101111101101001111001011111100000	decoded=[-0.095236, 0.010703, 1.210097, 1.086501, -0.015235, 1.020406, -0.933999, 0.815559, -0.093830, 0.955093]
gen=15	fitness=25.516115286327	chromosome=1001101001111010100000000011001101001011000000101001101100110011011010100100110010011001101000000110100011101100100101111010110001111100101101110110010101011001	decoded=[1.059157, 0.008047, -2.119642, 1.088063, -0.868060, 1.025094, -0.923061, 0.946968, -0.131330, -1.066032]
gen=16	fitness=23.321462801631	chromosome=1001100100000110011010001001000001111100111110000110101101101110011001011110000001111111011001000100110001101011100110000011101001100111001110011001011001100100	decoded=[1.001031, -0.937436, -0.121174, -0.822747, -1.044938, -0.024297, -2.063235, 0.969155, -0.991031, 0.895717]
gen=17	fitness=23.321462801631	chromosome=1001100100000110011010001001000001111100111110000110101101101110011001011110000001111111011001000100110001101011100110000011101001100111001110011001011001100100	decoded=[1.001031, -0.937436, -0.121174, -0.822747, -1.044938, -0.024297, -2.063235, 0.969155, -0.991031, 0.895717]
gen=18	fitness=23.321462801631	chromosome=1001100100000110011010001001000001111100111110000110101101101110011001011110000001111111011001000100110001101011100110000011101001100111001110011001011001100100	decoded=[1.001031, -0.937436, -0.121174, -0.822747, -1.044938, -0.024297, -2.063235, 0.969155, -0.991031, 0.895717]
gen=19	fitness=23.321462801631	chromosome=1001100100000110011010001001000001111100111110000110101101101110011001011110000001111111011001000100110001101011100110000011101001100111001110011001011001100100	decoded=[1.001031, -0.937436, -0.121174, -0.822747, -1.044938, -0.024297, -2.063235, 0.969155, -0.991031, 0.895717]
