seed=12
gen=0	fitness=96.303866039538	position=[1.862508, -2.015270, 1.505915, 2.118342, 1.078869, -1.445143, -2.759247, 0.929651, -1.961022, -2.992306]
gen=1	fitness=76.602266876384	position=[1.944465, -0.816847, 0.912543, 1.094622, 1.024237, -2.038027, -1.323558, 3.022226, -0.456062, -2.163964]
gen=2	fitness=58.302710560289	position=[0.105171, -2.703975, 0.008490, 0.950957, 0.259051, -1.077589, 0.048940, 1.966197, 1.305098, 0.922490]
gen=3	fitness=58.302710560289	position=[0.105171, -2.703975, 0.008490, 0.950957, 0.259051, -1.077589, 0.048940, 1.966197, 1.305098, 0.922490]
gen=4	fitness=58.302710560289	position=[0.105171, -2.703975, 0.008490, 0.950957, 0.259051, -1.077589, 0.048940, 1.966197, 1.305098, 0.922490]
gen=5	fitness=49.594630317208	position=[0.512087, -1.956751, -0.048853, 1.001343, 0.019415, -1.226980, 0.061673, 2.148387, 0.892697, 0.077475]
gen=6	fitness=49.594630317208	position=[0.512087, -1.956751, -0.048853, 1.001343, 0.019415, -1.226980, 0.061673, 2.148387, 0.892697, 0.077475]
gen=7	fitness=49.594630317208	position=[0.512087, -1.956751, -0.048853, 1.001343, 0.019415, -1.226980, 0.061673, 2.148387, 0.892697, 0.077475]
gen=8	fitness=49.594630317208	position=[0.512087, -1.956751, -0.048853, 1.001343, 0.019415, -1.226980, 0.061673, 2.148387, 0.892697, 0.077475]
gen=9	fitness=47.660317054501	position=[0.273181, -2.171905, -0.071222, 0.929395, 0.101925, -1.108271, 0.110674, 2.051499, 0.783642, 0.109427]
gen=10	fitness=47.660317054501	position=[0.273181, -2.171905, -0.071222, 0.929395, 0.101925, -1.108271, 0.110674, 2.051499, 0.783642, 0.109427]
gen=11	fitness=40.329841592798	position=[0.227478, -1.988439, -0.047956, 0.750847, 0.085285, -0.876753, -0.026138, 1.862252, 0.919890, 0.114917]
gen=12	fitness=40.329841592798	position=[0.227478, -1.988439, -0.047956, 0.750847, 0.085285, -0.876753, -0.026138, 1.862252, 0.919890, 0.114917]
gen=13	fitness=32.625498811928	position=[0.225215, -1.966725, -0.035136, 0.850008, 0.076501, -0.912875, -0.066381, 1.946285, 0.822964, 0.016285]
gen=14	fitness=32.625498811928	position=[0.225215, -1.966725, -0.035136, 0.850008, 0.076501, -0.912875, -0.066381, 1.946285, 0.822964, 0.016285]
gen=15	fitness=26.374792394178	position=[0.034820, -2.109862, -0.003881, 0.953047, -0.046066, -0.877208, 0.004971, 1.857147, 0.862471, 0.116198]
gen=16	fitness=19.197280957569	position=[0.064240, -1.981840, 0.018650, 0.913684, 0.026933, -0.953228, -0.031813, 1.860058, 0.931797, 0.088722]
gen=17	fitness=19.197280957569	position=[0.064240, -1.981840, 0.018650, 0.913684, 0.026933, -0.953228, -0.031813, 1.860058, 0.931797, 0.088722]
gen=18	fitness=16.361965965180	position=[0.072429, -2.037578, -0.068813, 0.917828, -0.005416, -0.977051, 0.060781, 1.971675, 1.021257, 0.066826]
gen=19	fitness=16.361965965180	position=[0.072429, -2.037578, -0.068813, 0.917828, -0.005416, -0.977051, 0.060781, 1.971675, 1.021257, 0.066826]
gen=20	fitness=15.207605094211	position=[0.073226, -2.099918, -0.022758, 0.940214, 0.083678, -1.012961, 0.066242, 0.023731, 0.920012, 0.059428]
gen=21	fitness=15.207605094211	position=[0.073226, -2.099918, -0.022758, 0.940214, 0.083678, -1.012961, 0.066242, 0.023731, 0.920012, 0.059428]
gen=22	fitness=15.207605094211	position=[0.073226, -2.099918, -0.022758, 0.940214, 0.083678, -1.012961, 0.066242, 0.023731, 0.920012, 0.059428]
gen=23	fitness=15.207605094211	position=[0.073226, -2.099918, -0.022758, 0.940214, 0.083678, -1.012961, 0.066242, 0.023731, 0.920012, 0.059428]
gen=24	fitness=14.119023722014	position=[0.075435, -2.051423, 0.042249, 0.984352, 0.117434, -1.030439, -0.036412, 0.006905, 0.901368, -0.023953]
gen=25	fitness=14.119023722014	position=[0.075435, -2.051423, 0.042249, 0.984352, 0.117434, -1.030439, -0.036412, 0.006905, 0.901368, -0.023953]
gen=26	fitness=14.119023722014	position=[0.075435, -2.051423, 0.042249, 0.984352, 0.117434, -1.030439, -0.036412, 0.006905, 0.901368, -0.023953]
