seed=6
gen=0	fitness=86.220642446540	position=[1.118872, 0.173372, 0.211106, -0.304828, 3.130810, -0.809658, -1.062235, -2.725639, -2.222407, -1.057890]
gen=1	fitness=65.709997683004	position=[-0.071387, -1.934999, -0.121029, -1.078581, 2.566483, 0.064315, 1.828186, 0.180380, 0.875001, -2.898412]
gen=2	fitness=49.333713655769	position=[0.918756, -1.008730, 1.005892, -0.080701, 0.595326, 0.056481, 0.107671, -1.614234, 0.055828, -0.935113]
gen=3	fitness=49.333713655769	position=[0.918756, -1.008730, 1.005892, -0.080701, 0.595326, 0.056481, 0.107671, -1.614234, 0.055828, -0.935113]
gen=4	fitness=49.333713655769	position=[0.918756, -1.008730, 1.005892, -0.080701, 0.595326, 0.056481, 0.107671, -1.614234, 0.055828, -0.935113]
gen=5	fitness=49.333713655769	position=[0.918756, -1.008730, 1.005892, -0.080701, 0.595326, 0.056481, 0.107671, -1.614234, 0.055828, -0.935113]
gen=6	fitness=26.819362450758	position=[1.044151, -1.003346, 1.031663, -0.157753, 0.837876, 0.044087, 0.012193, -1.905561, -0.121781, -1.131751]
gen=7	fitness=26.819362450758	position=[1.044151, -1.003346, 1.031663, -0.157753, 0.837876, 0.044087, 0.012193, -1.905561, -0.121781, -1.131751]
gen=8	fitness=26.819362450758	position=[1.044151, -1.003346, 1.031663, -0.157753, 0.837876, 0.044087, 0.012193, -1.905561, -0.121781, -1.131751]
gen=9	fitness=26.819362450758	position=[1.044151, -1.003346, 1.031663, -0.157753, 0.837876, 0.044087, 0.012193, -1.905561, -0.121781, -1.131751]
gen=10	fitness=26.819362450758	position=[1.044151, -1.003346, 1.031663, -0.157753, 0.837876, 0.044087, 0.012193, -1.905561, -0.121781, -1.131751]
gen=11	fitness=26.819362450758	position=[1.044151, -1.003346, 1.031663, -0.157753, 0.837876, 0.044087, 0.012193, -1.905561, -0.121781, -1.131751]
gen=12	fitness=24.372200301833	position=[0.990791, -0.994214, 0.984115, -0.095706, 0.871607, -0.030768, 0.037420, -1.989730, -0.152714, -1.178199]
gen=13	fitness=22.598508267063	position=[1.009819, -1.082195, 0.890655, -0.008732, 0.946481, 0.064671, -0.106190, -2.026623, -0.184223, -1.035043]
gen=14	fitness=17.791874635295	position=[1.010732, -0.958134, 1.001035, -0.059816, 0.932493, -0.012440, -0.069073, -2.001376, -0.159924, -1.079722]
gen=15	fitness=17.791874635295	position=[1.010732, -0.958134, 1.001035, -0.059816, 0.932493, -0.012440, -0.069073, -2.001376, -0.159924, -1.079722]
gen=16	fitness=17.791874635295	position=[1.010732, -0.958134, 1.001035, -0.059816, 0.932493, -0.012440, -0.069073, -2.001376, -0.159924, -1.079722]
gen=17	fitness=17.791874635295	position=[1.010732, -0.958134, 1.001035, -0.059816, 0.932493, -0.012440, -0.069073, -2.001376, -0.159924, -1.079722]
gen=18	fitness=17.791874635295	position=[1.010732, -0.958134, 1.001035, -0.059816, 0.932493, -0.012440, -0.069073, -2.001376, -0.159924, -1.079722]
