seed=7
gen=0	fitness=79.393464459465	position=[-3.208561, 1.808844, -0.822902, -3.079068, -0.207016, 1.100161, -3.049317, -2.079833, -1.073810, -1.861297]
gen=1	fitness=77.904596875436	position=[-0.083996, -2.118965, -0.034149, -0.384338, 0.890835, 0.112976, -2.095903, -2.560186, -0.746228, 0.131698]
gen=2	fitness=73.061314429621	position=[1.135659, -0.345526, 0.960335, 1.107197, 0.196701, 0.175953, -3.800513, 1.976915, -0.169612, -1.143851]
gen=3	fitness=53.245317772016	position=[-0.018573, 0.012083, -1.843315, -1.030199, 0.335779, -1.039084, -2.888656, 2.013254, 0.900091, 0.247744]
gen=4	fitness=45.934079801944	position=[2.160716, 0.751617, 0.105697, 0.975383, -1.067225, 1.152019, -1.959003, 2.091814, 0.993767, -2.022310]
gen=5	fitness=45.934079801944	position=[2.160716, 0.751617, 0.105697, 0.975383, -1.067225, 1.152019, -1.959003, 2.091814, 0.993767, -2.022310]
gen=6	fitness=45.934079801944	position=[2.160716, 0.751617, 0.105697, 0.975383, -1.067225, 1.152019, -1.959003, 2.091814, 0.993767, -2.022310]
gen=7	fitness=45.934079801944	position=[2.160716, 0.751617, 0.105697, 0.975383, -1.067225, 1.152019, -1.959003, 2.091814, 0.993767, -2.022310]
gen=8	fitness=33.103755718343	position=[1.989117, 0.791731, 0.086243, 0.993550, -1.022808, 1.009460, -2.058212, 2.080521, 0.959454, -2.052259]
gen=9	fitness=33.103755718343	position=[1.989117, 0.791731, 0.086243, 0.993550, -1.022808, 1.009460, -2.058212, 2.080521, 0.959454, -2.052259]
gen=10	fitness=29.818719194493	position=[1.993491, 0.965615, -0.043174, 0.965068, -0.830871, 0.992840, -1.989771, 1.955615, 0.865970, -2.005824]
gen=11	fitness=29.359940435612	position=[2.046531, 0.872393, 0.028678, 0.947615, -1.021793, 1.066434, -1.945482, 2.075547, 1.020435, -2.072233]
gen=12	fitness=23.431347679421	position=[1.971523, 0.900004, 0.009780, 1.006288, -0.990632, 1.001703, -2.045657, 1.998335, 1.007619, -1.977751]
gen=13	fitness=23.431347679421	position=[1.971523, 0.900004, 0.009780, 1.006288, -0.990632, 1.001703, -2.045657, 1.998335, 1.007619, -1.977751]
gen=14	fitness=22.336836637303	position=[2.001822, 0.955674, -0.046349, 0.978497, -0.969470, 0.986155, -0.089678, 2.064037, 0.904171, -2.025871]
gen=15	fitness=22.336836637303	position=[2.001822, 0.955674, -0.046349, 0.978497, -0.969470, 0.986155, -0.089678, 2.064037, 0.904171, -2.025871]
gen=16	fitness=22.020651055752	position=[1.948137, 0.920972, -0.019316, 0.987323, -0.946078, 0.947185, -1.014371, 2.009727, 0.907052, -1.971177]
gen=17	fitness=22.020651055752	position=[1.948137, 0.920972, -0.019316, 0.987323, -0.946078, 0.947185, -1.014371, 2.009727, 0.907052, -1.971177]
gen=18	fitness=22.020651055752	position=[1.948137, 0.920972, -0.019316, 0.987323, -0.946078, 0.947185, -1.014371, 2.009727, 0.907052, -1.971177]
gen=19	fitness=22.020651055752	position=[1.948137, 0.920972, -0.019316, 0.987323, -0.946078, 0.947185, -1.014371, 2.009727, 0.907052, -1.971177]
gen=20	fitness=22.020651055752	position=[1.948137, 0.920972, -0.019316, 0.987323, -0.946078, 0.947185, -1.014371, 2.009727, 0.907052, -1.971177]
gen=21	fitness=22.020651055752	position=[1.948137, 0.920972, -0.019316, 0.987323, -0.946078, 0.947185, -1.014371, 2.009727, 0.907052, -1.971177]
gen=22	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=23	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
gen=24	fitness=19.229745973165	position=[1.971939, 0.946468, 0.036519, 0.994800, -0.988632, 0.997038, -0.955643, 1.971886, 0.967290, -1.985460]
