seed=9
gen=0	fitness=92.980786608803	position=[3.136200, -1.247949, 0.868627, 0.088913, 0.928610, -3.063005, 1.148275, -1.271161, -4.043365, -2.260260]
gen=1	fitness=70.708558546683	position=[-0.177798, -0.008826, -1.945308, -0.873909, 0.999678, -0.821572, 2.020778, -0.331473, 1.585533, -2.160313]
gen=2	fitness=55.825397855150	position=[1.768995, 2.040264, -0.145836, -1.046984, 1.203058, -0.908032, 0.976689, 1.942796, -0.793995, -3.041054]
gen=3	fitness=55.825397855150	position=[1.768995, 2.040264, -0.145836, -1.046984, 1.203058, -0.908032, 0.976689, 1.942796, -0.793995, -3.041054]
gen=4	fitness=55.825397855150	position=[1.768995, 2.040264, -0.145836, -1.046984, 1.203058, -0.908032, 0.976689, 1.942796, -0.793995, -3.041054]
gen=5	fitness=55.825397855150	position=[1.768995, 2.040264, -0.145836, -1.046984, 1.203058, -0.908032, 0.976689, 1.942796, -0.793995, -3.041054]
gen=6	fitness=49.717552370942	position=[1.948322, -0.369110, 0.951185, -1.084489, -0.003376, -0.277983, 1.075748, 0.197189, -1.064697, -0.934538]
gen=7	fitness=49.717552370942	position=[1.948322, -0.369110, 0.951185, -1.084489, -0.003376, -0.277983, 1.075748, 0.197189, -1.064697, -0.934538]
gen=8	fitness=42.987533659325	position=[-1.183508, 0.950755, 1.002572, 0.875733, 2.047702, -0.249524, -0.160289, -0.089566, -0.990776, 2.130031]
gen=9	fitness=42.987533659325	position=[-1.183508, 0.950755, 1.002572, 0.875733, 2.047702, -0.249524, -0.160289, -0.089566, -0.990776, 2.130031]
gen=10	fitness=42.604236703256	position=[-1.191308, 0.971075, 0.992890, 0.869842, 2.050475, -0.253210, -0.158746, -0.084318, -0.988323, 2.111566]
gen=11	fitness=42.604236703256	position=[-1.191308, 0.971075, 0.992890, 0.869842, 2.050475, -0.253210, -0.158746, -0.084318, -0.988323, 2.111566]
gen=12	fitness=42.604236703256	position=[-1.191308, 0.971075, 0.992890, 0.869842, 2.050475, -0.253210, -0.158746, -0.084318, -0.988323, 2.111566]
gen=13	fitness=42.604236703256	position=[-1.191308, 0.971075, 0.992890, 0.869842, 2.050475, -0.253210, -0.158746, -0.084318, -0.988323, 2.111566]
gen=14	fitness=42.604236703256	position=[-1.191308, 0.971075, 0.992890, 0.869842, 2.050475, -0.253210, -0.158746, -0.084318, -0.988323, 2.111566]
gen=15	fitness=42.604236703256	position=[-1.191308, 0.971075, 0.992890, 0.869842, 2.050475, -0.253210, -0.158746, -0.084318, -0.988323, 2.111566]
