seed=10
gen=0	fitness=91.291193212140	position=[2.003696, -0.017710, -3.027385, 1.932303, 0.383112, -0.233106, -4.090031, -0.232149, -2.111694, -3.124455]
gen=1	fitness=56.994071955795	position=[-2.112454, 0.144921, 0.132208, -2.022058, 0.974124, -1.459891, 1.025463, -1.072482, -1.260106, -0.040508]
gen=2	fitness=49.920672756167	position=[-1.187922, -0.953571, -0.673682, 0.987559, 1.086845, -0.074551, -0.918832, 1.002751, -3.005099, -2.965112]
gen=3	fitness=49.920672756167	position=[-1.187922, -0.953571, -0.673682, 0.987559, 1.086845, -0.074551, -0.918832, 1.002751, -3.005099, -2.965112]
gen=4	fitness=49.920672756167	position=[-1.187922, -0.953571, -0.673682, 0.987559, 1.086845, -0.074551, -0.918832, 1.002751, -3.005099, -2.965112]
gen=5	fitness=49.920672756167	position=[-1.187922, -0.953571, -0.673682, 0.987559, 1.086845, -0.074551, -0.918832, 1.002751, -3.005099, -2.965112]
gen=6	fitness=49.920672756167	position=[-1.187922, -0.953571, -0.673682, 0.987559, 1.086845, -0.074551, -0.918832, 1.002751, -3.005099, -2.965112]
gen=7	fitness=40.969533356005	position=[-1.230768, -0.911117, -0.937292, 0.898588, 0.971322, -0.052306, -1.084823, 0.965489, -3.039111, -2.972181]
gen=8	fitness=37.848466983102	position=[-1.065713, -0.980802, -0.915516, 0.867456, 0.962685, -0.082722, -1.114060, 0.946874, -2.867860, -2.934628]
gen=9	fitness=37.848466983102	position=[-1.065713, -0.980802, -0.915516, 0.867456, 0.962685, -0.082722, -1.114060, 0.946874, -2.867860, -2.934628]
gen=10	fitness=37.848466983102	position=[-1.065713, -0.980802, -0.915516, 0.867456, 0.962685, -0.082722, -1.114060, 0.946874, -2.867860, -2.934628]
gen=11	fitness=37.848466983102	position=[-1.065713, -0.980802, -0.915516, 0.867456, 0.962685, -0.082722, -1.114060, 0.946874, -2.867860, -2.934628]
gen=12	fitness=37.848466983102	position=[-1.065713, -0.980802, -0.915516, 0.867456, 0.962685, -0.082722, -1.114060, 0.946874, -2.867860, -2.934628]
gen=13	fitness=34.729388889832	position=[-1.070269, -0.868133, -1.019341, 0.975059, 0.968919, -0.115108, -1.066399, 1.072064, -3.002533, -3.043357]
gen=14	fitness=29.948272263053	position=[-1.079759, -1.011272, -0.915960, 0.935405, 1.011767, -0.026943, -1.054196, 1.014665, -3.037308, -3.017503]
