seed=109
gen=0	fitness=4314.828761964668	tour=[0, 83, 93, 94, 20, 4, 80, 40, 28, 53, 14, 10, 26, 6, 42, 91, 85, 87, 35, 31, 32, 75, 98, 71, 64, 19, 36, 95, 47, 56, 46, 74, 50, 63, 79, 39, 38, 27, 25, 69, 55, 66, 22, 81, 84, 18, 1, 30, 43, 7, 2, 57, 68, 82, 96, 48, 78, 77, 41, 90, 92, 60, 72, 61, 15, 67, 21, 99, 34, 89, 73, 97, 62, 70, 76, 37, 65, 58, 13, 24, 3, 12, 44, 45, 17, 33, 16, 5, 54, 51, 88, 49, 59, 86, 9, 29, 8, 23, 52, 11]
gen=1	fitness=1281.622988740422	tour=[77, 67, 78, 79, 69, 68, 58, 59, 49, 48, 47, 46, 35, 34, 44, 43, 42, 32, 31, 30, 40, 51, 50, 41, 52, 63, 72, 71, 61, 62, 73, 74, 84, 83, 82, 92, 91, 90, 80, 70, 60, 81, 93, 94, 85, 86, 87, 97, 98, 99, 89, 88, 66, 65, 64, 54, 53, 33, 23, 22, 21, 11, 12, 13, 14, 24, 25, 26, 27, 17, 28, 29, 39, 38, 37, 36, 5, 15, 6, 7, 18, 9, 19, 8, 16, 4, 3, 2, 1, 10, 0, 20, 57, 56, 55, 45, 76, 75, 95, 96]
gen=2	fitness=1207.171880054555	tour=[76, 86, 95, 85, 84, 74, 65, 55, 56, 46, 45, 53, 43, 42, 41, 30, 40, 50, 51, 61, 71, 81, 91, 90, 80, 70, 60, 73, 63, 64, 54, 44, 34, 33, 14, 4, 3, 2, 12, 22, 32, 31, 20, 10, 1, 0, 11, 21, 23, 13, 24, 35, 25, 15, 16, 17, 18, 19, 9, 8, 7, 6, 5, 26, 36, 37, 38, 28, 29, 39, 49, 48, 58, 59, 69, 68, 78, 79, 89, 99, 98, 88, 87, 97, 96, 94, 93, 92, 83, 82, 72, 62, 52, 75, 66, 67, 77, 57, 47, 27]
gen=3	fitness=1207.171880054555	tour=[76, 86, 95, 85, 84, 74, 65, 55, 56, 46, 45, 53, 43, 42, 41, 30, 40, 50, 51, 61, 71, 81, 91, 90, 80, 70, 60, 73, 63, 64, 54, 44, 34, 33, 14, 4, 3, 2, 12, 22, 32, 31, 20, 10, 1, 0, 11, 21, 23, 13, 24, 35, 25, 15, 16, 17, 18, 19, 9, 8, 7, 6, 5, 26, 36, 37, 38, 28, 29, 39, 49, 48, 58, 59, 69, 68, 78, 79, 89, 99, 98, 88, 87, 97, 96, 94, 93, 92, 83, 82, 72, 62, 52, 75, 66, 67, 77, 57, 47, 27]
gen=4	fitness=1207.171880054555	tour=[76, 86, 95, 85, 84, 74, 65, 55, 56, 46, 45, 53, 43, 42, 41, 30, 40, 50, 51, 61, 71, 81, 91, 90, 80, 70, 60, 73, 63, 64, 54, 44, 34, 33, 14, 4, 3, 2, 12, 22, 32, 31, 20, 10, 1, 0, 11, 21, 23, 13, 24, 35, 25, 15, 16, 17, 18, 19, 9, 8, 7, 6, 5, 26, 36, 37, 38, 28, 29, 39, 49, 48, 58, 59, 69, 68, 78, 79, 89, 99, 98, 88, 87, 97, 96, 94, 93, 92, 83, 82, 72, 62, 52, 75, 66, 67, 77, 57, 47, 27]
gen=5	fitness=1207.171880054555	tour=[76, 86, 95, 85, 84, 74, 65, 55, 56, 46, 45, 53, 43, 42, 41, 30, 40, 50, 51, 61, 71, 81, 91, 90, 80, 70, 60, 73, 63, 64, 54, 44, 34, 33, 14, 4, 3, 2, 12, 22, 32, 31, 20, 10, 1, 0, 11, 21, 23, 13, 24, 35, 25, 15, 16, 17, 18, 19, 9, 8, 7, 6, 5, 26, 36, 37, 38, 28, 29, 39, 49, 48, 58, 59, 69, 68, 78, 79, 89, 99, 98, 88, 87, 97, 96, 94, 93, 92, 83, 82, 72, 62, 52, 75, 66, 67, 77, 57, 47, 27]
gen=6	fitness=1207.171880054555	tour=[76, 86, 95, 85, 84, 74, 65, 55, 56, 46, 45, 53, 43, 42, 41, 30, 40, 50, 51, 61, 71, 81, 91, 90, 80, 70, 60, 73, 63, 64, 54, 44, 34, 33, 14, 4, 3, 2, 12, 22, 32, 31, 20, 10, 1, 0, 11, 21, 23, 13, 24, 35, 25, 15, 16, 17, 18, 19, 9, 8, 7, 6, 5, 26, 36, 37, 38, 28, 29, 39, 49, 48, 58, 59, 69, 68, 78, 79, 89, 99, 98, 88, 87, 97, 96, 94, 93, 92, 83, 82, 72, 62, 52, 75, 66, 67, 77, 57, 47, 27]
gen=7	fitness=1163.738251942369	tour=[77, 76, 86, 96, 97, 98, 99, 89, 88, 87, 78, 79, 69, 59, 58, 68, 67, 66, 56, 46, 36, 25, 24, 34, 35, 45, 55, 65, 64, 73, 72, 82, 92, 93, 83, 84, 94, 95, 85, 75, 74, 62, 52, 51, 61, 60, 70, 80, 90, 91, 81, 71, 63, 53, 54, 43, 44, 42, 32, 31, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 29, 28, 37, 38, 48, 47, 57, 49, 39, 18, 17, 27, 26, 16, 15, 14, 13, 23, 33, 22, 12, 11, 21, 41]
gen=8	fitness=1163.738251942369	tour=[77, 76, 86, 96, 97, 98, 99, 89, 88, 87, 78, 79, 69, 59, 58, 68, 67, 66, 56, 46, 36, 25, 24, 34, 35, 45, 55, 65, 64, 73, 72, 82, 92, 93, 83, 84, 94, 95, 85, 75, 74, 62, 52, 51, 61, 60, 70, 80, 90, 91, 81, 71, 63, 53, 54, 43, 44, 42, 32, 31, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 29, 28, 37, 38, 48, 47, 57, 49, 39, 18, 17, 27, 26, 16, 15, 14, 13, 23, 33, 22, 12, 11, 21, 41]
gen=9	fitness=1163.738251942369	tour=[77, 76, 86, 96, 97, 98, 99, 89, 88, 87, 78, 79, 69, 59, 58, 68, 67, 66, 56, 46, 36, 25, 24, 34, 35, 45, 55, 65, 64, 73, 72, 82, 92, 93, 83, 84, 94, 95, 85, 75, 74, 62, 52, 51, 61, 60, 70, 80, 90, 91, 81, 71, 63, 53, 54, 43, 44, 42, 32, 31, 50, 40, 30, 20, 10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 29, 28, 37, 38, 48, 47, 57, 49, 39, 18, 17, 27, 26, 16, 15, 14, 13, 23, 33, 22, 12, 11, 21, 41]
gen=10	fitness=1146.142715787305	tour=[18, 28, 27, 37, 38, 48, 58, 57, 47, 46, 56, 55, 45, 35, 36, 26, 16, 15, 4, 3, 13, 12, 22, 21, 31, 41, 51, 52, 53, 54, 64, 63, 62, 61, 60, 50, 40, 30, 20, 11, 1, 2, 0, 10, 32, 42, 43, 33, 23, 24, 25, 14, 5, 6, 7, 17, 8, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99, 98, 97, 87, 88, 78, 76, 75, 65, 66, 67, 68, 77, 86, 96, 95, 94, 84, 85, 74, 73, 83, 93, 92, 91, 90, 80, 70, 71, 72, 82, 81, 44, 34]
