seed=32
gen=0	fitness=509.167439058663	tour=[14, 2, 12, 9, 4, 3, 21, 20, 18, 13, 0, 8, 19, 10, 15, 16, 22, 23, 17, 5, 1, 6, 7, 11, 24]
gen=1	fitness=460.480989747008	tour=[14, 2, 12, 9, 4, 3, 21, 23, 19, 22, 24, 17, 16, 11, 7, 6, 15, 10, 20, 18, 13, 5, 0, 1, 8]
gen=2	fitness=458.699533898274	tour=[12, 13, 14, 9, 4, 3, 21, 23, 19, 17, 24, 10, 15, 20, 18, 22, 6, 5, 7, 0, 1, 8, 2, 11, 16]
gen=3	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=4	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=5	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=6	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=7	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=8	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=9	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=10	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=11	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=12	fitness=425.519707791102	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 20, 17, 10, 22, 24, 19, 8, 2, 0, 6]
gen=13	fitness=412.514076993644	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 10, 20, 17, 22, 24, 19, 8, 6, 2, 0]
gen=14	fitness=404.874756768642	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 10, 17, 20, 22, 24, 19, 8, 2, 0, 6]
gen=15	fitness=404.874756768642	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 10, 17, 20, 22, 24, 19, 8, 2, 0, 6]
gen=16	fitness=404.874756768642	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 10, 17, 20, 22, 24, 19, 8, 2, 0, 6]
gen=17	fitness=404.229805746182	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 10, 20, 17, 22, 24, 19, 8, 6, 0, 2]
gen=18	fitness=404.229805746182	tour=[12, 13, 14, 9, 4, 3, 21, 23, 18, 7, 1, 5, 15, 16, 11, 10, 20, 17, 22, 24, 19, 8, 6, 0, 2]
gen=19	fitness=401.908095102506	tour=[12, 13, 14, 9, 4, 10, 21, 23, 19, 24, 17, 20, 15, 16, 11, 6, 0, 5, 22, 18, 2, 1, 3, 8, 7]
gen=20	fitness=401.908095102506	tour=[12, 13, 14, 9, 4, 10, 21, 23, 19, 24, 17, 20, 15, 16, 11, 6, 0, 5, 22, 18, 2, 1, 3, 8, 7]
gen=21	fitness=399.016892392373	tour=[12, 13, 14, 9, 4, 3, 21, 23, 19, 24, 17, 20, 16, 15, 10, 22, 11, 1, 0, 5, 2, 6, 7, 8, 18]
gen=22	fitness=374.295532842377	tour=[12, 13, 14, 9, 4, 3, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 2, 6, 1, 7, 8, 18, 22]
gen=23	fitness=374.295532842377	tour=[12, 13, 14, 9, 4, 3, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 2, 6, 1, 7, 8, 18, 22]
gen=24	fitness=374.295532842377	tour=[12, 13, 14, 9, 4, 3, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 2, 6, 1, 7, 8, 18, 22]
gen=25	fitness=374.295532842377	tour=[12, 13, 14, 9, 4, 3, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 2, 6, 1, 7, 8, 18, 22]
gen=26	fitness=368.437668466108	tour=[18, 13, 14, 9, 4, 3, 21, 23, 19, 24, 17, 20, 15, 16, 10, 11, 1, 5, 0, 6, 2, 7, 8, 12, 22]
gen=27	fitness=361.841900916525	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 3, 7, 8, 22]
gen=28	fitness=361.841900916525	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 3, 7, 8, 22]
gen=29	fitness=353.557629669063	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=30	fitness=353.557629669063	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=31	fitness=353.557629669063	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=32	fitness=353.557629669063	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=33	fitness=353.557629669063	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=34	fitness=353.557629669063	tour=[18, 13, 14, 9, 4, 12, 21, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=35	fitness=349.481221141527	tour=[21, 13, 14, 9, 4, 12, 18, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=36	fitness=343.716308916112	tour=[21, 13, 14, 9, 4, 3, 18, 23, 19, 24, 17, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 8, 7, 12, 22]
gen=37	fitness=330.710678118655	tour=[17, 13, 14, 9, 4, 3, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 8, 2, 7, 12, 22]
gen=38	fitness=330.617725967800	tour=[17, 13, 14, 9, 4, 12, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=39	fitness=330.617725967800	tour=[17, 13, 14, 9, 4, 12, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 8, 22]
gen=40	fitness=328.191319096608	tour=[12, 13, 14, 9, 4, 3, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 8, 22, 17]
gen=41	fitness=328.191319096608	tour=[12, 13, 14, 9, 4, 3, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 8, 22, 17]
gen=42	fitness=328.191319096608	tour=[12, 13, 14, 9, 4, 3, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 8, 22, 17]
gen=43	fitness=328.191319096608	tour=[12, 13, 14, 9, 4, 3, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 8, 22, 17]
gen=44	fitness=323.071357893653	tour=[17, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 12, 22]
gen=45	fitness=323.071357893653	tour=[17, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 7, 2, 3, 12, 22]
gen=46	fitness=318.994949366117	tour=[17, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 3, 7, 12, 22]
gen=47	fitness=318.994949366117	tour=[17, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 3, 7, 12, 22]
gen=48	fitness=318.994949366117	tour=[17, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 3, 7, 12, 22]
gen=49	fitness=317.213493517384	tour=[22, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 15, 16, 10, 11, 5, 0, 1, 6, 2, 3, 7, 12, 17]
gen=50	fitness=317.213493517384	tour=[22, 13, 14, 9, 4, 8, 18, 23, 19, 24, 21, 20, 15, 16, 10, 11, 5, 0, 1, 6, 2, 3, 7, 12, 17]
gen=51	fitness=316.475590344069	tour=[18, 13, 14, 9, 4, 8, 22, 23, 19, 24, 21, 20, 15, 16, 10, 11, 5, 0, 1, 6, 2, 3, 7, 12, 17]
gen=52	fitness=310.710678118655	tour=[18, 13, 14, 9, 4, 3, 8, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=53	fitness=310.710678118655	tour=[18, 13, 14, 9, 4, 3, 8, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=54	fitness=310.710678118655	tour=[18, 13, 14, 9, 4, 3, 8, 23, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=55	fitness=302.426406871193	tour=[23, 13, 14, 9, 4, 3, 8, 18, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=56	fitness=302.426406871193	tour=[23, 13, 14, 9, 4, 3, 8, 18, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=57	fitness=302.426406871193	tour=[23, 13, 14, 9, 4, 3, 8, 18, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=58	fitness=302.426406871193	tour=[23, 13, 14, 9, 4, 3, 8, 18, 19, 24, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=59	fitness=302.333454720339	tour=[18, 13, 14, 9, 4, 3, 8, 24, 19, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=60	fitness=302.333454720339	tour=[18, 13, 14, 9, 4, 3, 8, 24, 19, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=61	fitness=302.333454720339	tour=[18, 13, 14, 9, 4, 3, 8, 24, 19, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=62	fitness=302.333454720339	tour=[18, 13, 14, 9, 4, 3, 8, 24, 19, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=63	fitness=302.333454720339	tour=[18, 13, 14, 9, 4, 3, 8, 24, 19, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=64	fitness=294.787086646191	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 6, 1, 2, 7, 12, 22, 17]
gen=65	fitness=294.787086646191	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 6, 1, 2, 7, 12, 22, 17]
gen=66	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=67	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=68	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=69	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=70	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=71	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=72	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=73	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=74	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=75	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=76	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=77	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
gen=78	fitness=288.929222269922	tour=[18, 13, 14, 9, 4, 3, 8, 19, 24, 23, 21, 20, 16, 15, 10, 11, 5, 0, 1, 6, 2, 7, 12, 17, 22]
