seed=29
gen=0	fitness=927.980043532093	tour=[20, 5, 11, 3, 18, 1, 21, 4, 24, 6, 23, 17, 2, 7, 10, 22, 0, 19, 8, 13, 16, 9, 12, 15, 14]
gen=1	fitness=863.709778933806	tour=[20, 5, 11, 3, 6, 14, 18, 12, 9, 19, 1, 0, 21, 15, 13, 22, 10, 24, 2, 7, 4, 16, 8, 17, 23]
gen=2	fitness=858.788392277576	tour=[20, 5, 11, 3, 6, 14, 18, 12, 7, 2, 1, 8, 10, 23, 17, 21, 16, 0, 24, 15, 22, 4, 9, 19, 13]
gen=3	fitness=834.974406721025	tour=[20, 10, 11, 3, 6, 4, 18, 12, 7, 2, 1, 8, 5, 23, 17, 16, 22, 15, 19, 9, 24, 14, 0, 13, 21]
gen=4	fitness=743.468315563882	tour=[20, 10, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 13, 21, 15, 19, 22, 24, 18, 14, 5, 23, 17, 0]
gen=5	fitness=695.768009215320	tour=[20, 10, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 17, 23, 0, 21, 18, 14, 24, 15, 19, 13, 22, 5]
gen=6	fitness=695.768009215320	tour=[20, 10, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 17, 23, 0, 21, 18, 14, 24, 15, 19, 13, 22, 5]
gen=7	fitness=695.768009215320	tour=[20, 10, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 17, 23, 0, 21, 18, 14, 24, 15, 19, 13, 22, 5]
gen=8	fitness=690.725811167056	tour=[20, 5, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 17, 23, 0, 21, 18, 14, 24, 15, 19, 13, 22, 10]
gen=9	fitness=690.725811167056	tour=[20, 5, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 17, 23, 0, 21, 18, 14, 24, 15, 19, 13, 22, 10]
gen=10	fitness=690.725811167056	tour=[20, 5, 11, 3, 6, 4, 16, 8, 7, 2, 1, 12, 9, 17, 23, 0, 21, 18, 14, 24, 15, 19, 13, 22, 10]
