seed=2
gen=0	fitness=0.734464460529	position=[2.011665, -0.018454]
gen=1	fitness=0.054369245545	position=[3.204844, 0.585586]
gen=2	fitness=0.025618907751	position=[2.723897, 0.399390]
gen=3	fitness=0.003907869529	position=[2.862454, 0.468280]
gen=4	fitness=0.003907869529	position=[2.862454, 0.468280]
gen=5	fitness=0.003907869529	position=[2.862454, 0.468280]
gen=6	fitness=0.003907869529	position=[2.862454, 0.468280]
gen=7	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=8	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=9	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=10	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=11	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=12	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=13	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=14	fitness=0.002615112456	position=[2.880733, 0.468280]
gen=15	fitness=0.001521333614	position=[2.934515, 0.489380]
gen=16	fitness=0.001521333614	position=[2.934515, 0.489380]
gen=17	fitness=0.001521333614	position=[2.934515, 0.489380]
gen=18	fitness=0.001521333614	position=[2.934515, 0.489380]
gen=19	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=20	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=21	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=22	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=23	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=24	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=25	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=26	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=27	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=28	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=29	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=30	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=31	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=32	fitness=0.000388972377	position=[2.953623, 0.489380]
gen=33	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=34	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=35	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=36	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=37	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=38	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=39	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=40	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=41	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=42	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=43	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=44	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=45	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=46	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=47	fitness=0.000150360398	position=[3.007110, 0.504225]
gen=48	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=49	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=50	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=51	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=52	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=53	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=54	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=55	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=56	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=57	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=58	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=59	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=60	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=61	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=62	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=63	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=64	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=65	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=66	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=67	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=68	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=69	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=70	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=71	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=72	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=73	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=74	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=75	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=76	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=77	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=78	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=79	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=80	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=81	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=82	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=83	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=84	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=85	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=86	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=87	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=88	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=89	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=90	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=91	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=92	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=93	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=94	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=95	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=96	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=97	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=98	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=99	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=100	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=101	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=102	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=103	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=104	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=105	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=106	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=107	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=108	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=109	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=110	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=111	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=112	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=113	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=114	fitness=0.000008424558	position=[3.007110, 0.501888]
