seed=7
gen=0	fitness=0.949595265090	position=[-3.568166, 1.208606]
gen=1	fitness=0.042259721195	position=[2.819465, 0.405517]
gen=2	fitness=0.031171776664	position=[2.645451, 0.405517]
gen=3	fitness=0.031171776664	position=[2.645451, 0.405517]
gen=4	fitness=0.023703339863	position=[3.490101, 0.597252]
gen=5	fitness=0.021664847475	position=[2.711818, 0.405517]
gen=6	fitness=0.005525646860	position=[3.127437, 0.518956]
gen=7	fitness=0.005525646860	position=[3.127437, 0.518956]
gen=8	fitness=0.005525646860	position=[3.127437, 0.518956]
gen=9	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=10	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=11	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=12	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=13	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=14	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=15	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=16	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=17	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=18	fitness=0.002458033965	position=[3.127437, 0.527310]
gen=19	fitness=0.001805627660	position=[3.097732, 0.527310]
gen=20	fitness=0.001805627660	position=[3.097732, 0.527310]
gen=21	fitness=0.001805627660	position=[3.097732, 0.527310]
gen=22	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=23	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=24	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=25	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=26	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=27	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=28	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=29	fitness=0.000561438608	position=[2.993077, 0.503181]
gen=30	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=31	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=32	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=33	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=34	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=35	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=36	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=37	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=38	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=39	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=40	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=41	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=42	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=43	fitness=0.000305389830	position=[2.974644, 0.496632]
gen=44	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=45	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=46	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=47	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=48	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=49	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=50	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=51	fitness=0.000146331580	position=[2.974644, 0.492297]
gen=52	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=53	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=54	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=55	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=56	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=57	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=58	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=59	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=60	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=61	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=62	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=63	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=64	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=65	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=66	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=67	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=68	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=69	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=70	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=71	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=72	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=73	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=74	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=75	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=76	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=77	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=78	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=79	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=80	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=81	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=82	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=83	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=84	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=85	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=86	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=87	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=88	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=89	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=90	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=91	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=92	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=93	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=94	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=95	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=96	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=97	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=98	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=99	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=100	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=101	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=102	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=103	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=104	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=105	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=106	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=107	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=108	fitness=0.000049758083	position=[3.015692, 0.503181]
gen=109	fitness=0.000049758083	position=[3.015692, 0.503181]
