seed=1
gen=0	fitness=-0.007722869088	chromosome=[4.429688, 4.223835]	decoded=[4.429688, 4.223835]
gen=1	fitness=-0.856462591479	chromosome=[3.323219, 3.406111]	decoded=[3.323219, 3.406111]
gen=2	fitness=-0.856462591479	chromosome=[3.323219, 3.406111]	decoded=[3.323219, 3.406111]
gen=3	fitness=-0.856462591479	chromosome=[3.323219, 3.406111]	decoded=[3.323219, 3.406111]
gen=4	fitness=-0.856462591479	chromosome=[3.323219, 3.406111]	decoded=[3.323219, 3.406111]
gen=5	fitness=-0.856462591479	chromosome=[3.323219, 3.406111]	decoded=[3.323219, 3.406111]
gen=6	fitness=-0.899985798238	chromosome=[3.143479, 3.406111]	decoded=[3.143479, 3.406111]
gen=7	fitness=-0.899985798238	chromosome=[3.143479, 3.406111]	decoded=[3.143479, 3.406111]
gen=8	fitness=-0.911677228663	chromosome=[2.894901, 3.117505]	decoded=[2.894901, 3.117505]
gen=9	fitness=-0.911677228663	chromosome=[2.894901, 3.117505]	decoded=[2.894901, 3.117505]
gen=10	fitness=-0.997879376297	chromosome=[3.112697, 3.117505]	decoded=[3.112697, 3.117505]
gen=11	fitness=-0.997879376297	chromosome=[3.112697, 3.117505]	decoded=[3.112697, 3.117505]
gen=12	fitness=-0.997879376297	chromosome=[3.112697, 3.117505]	decoded=[3.112697, 3.117505]
gen=13	fitness=-0.997879376297	chromosome=[3.112697, 3.117505]	decoded=[3.112697, 3.117505]
gen=14	fitness=-0.997879376297	chromosome=[3.112697, 3.117505]	decoded=[3.112697, 3.117505]
gen=15	fitness=-0.997879376297	chromosome=[3.112697, 3.117505]	decoded=[3.112697, 3.117505]
gen=16	fitness=-0.999963741559	chromosome=[3.143479, 3.137052]	decoded=[3.143479, 3.137052]
gen=17	fitness=-0.999963741559	chromosome=[3.143479, 3.137052]	decoded=[3.143479, 3.137052]
gen=18	fitness=-0.999963741559	chromosome=[3.143479, 3.137052]	decoded=[3.143479, 3.137052]
gen=19	fitness=-0.999963741559	chromosome=[3.143479, 3.137052]	decoded=[3.143479, 3.137052]
gen=20	fitness=-0.999990162668	chromosome=[3.140206, 3.139439]	decoded=[3.140206, 3.139439]
gen=21	fitness=-0.999990162668	chromosome=[3.140206, 3.139439]	decoded=[3.140206, 3.139439]
gen=22	fitness=-0.999990162668	chromosome=[3.140206, 3.139439]	decoded=[3.140206, 3.139439]
gen=23	fitness=-0.999997154283	chromosome=[3.142841, 3.142175]	decoded=[3.142841, 3.142175]
gen=24	fitness=-0.999998574853	chromosome=[3.142008, 3.140711]	decoded=[3.142008, 3.140711]
gen=25	fitness=-0.999998574853	chromosome=[3.142008, 3.140711]	decoded=[3.142008, 3.140711]
gen=26	fitness=-0.999998574853	chromosome=[3.142008, 3.140711]	decoded=[3.142008, 3.140711]
gen=27	fitness=-0.999998574853	chromosome=[3.142008, 3.140711]	decoded=[3.142008, 3.140711]
gen=28	fitness=-0.999998574853	chromosome=[3.142008, 3.140711]	decoded=[3.142008, 3.140711]
gen=29	fitness=-0.999998610653	chromosome=[3.142008, 3.140725]	decoded=[3.142008, 3.140725]
gen=30	fitness=-0.999998610653	chromosome=[3.142008, 3.140725]	decoded=[3.142008, 3.140725]
gen=31	fitness=-0.999998610653	chromosome=[3.142008, 3.140725]	decoded=[3.142008, 3.140725]
gen=32	fitness=-0.999998610653	chromosome=[3.142008, 3.140725]	decoded=[3.142008, 3.140725]
gen=33	fitness=-0.999998700837	chromosome=[3.141928, 3.140725]	decoded=[3.141928, 3.140725]
gen=34	fitness=-0.999998930434	chromosome=[3.142205, 3.142175]	decoded=[3.142205, 3.142175]
gen=35	fitness=-0.999998930434	chromosome=[3.142205, 3.142175]	decoded=[3.142205, 3.142175]
gen=36	fitness=-0.999999443763	chromosome=[3.141772, 3.142175]	decoded=[3.141772, 3.142175]
gen=37	fitness=-0.999999443763	chromosome=[3.141772, 3.142175]	decoded=[3.141772, 3.142175]
gen=38	fitness=-0.999999443763	chromosome=[3.141772, 3.142175]	decoded=[3.141772, 3.142175]
gen=39	fitness=-0.999999443763	chromosome=[3.141772, 3.142175]	decoded=[3.141772, 3.142175]
gen=40	fitness=-0.999999443763	chromosome=[3.141772, 3.142175]	decoded=[3.141772, 3.142175]
gen=41	fitness=-0.999999443763	chromosome=[3.141772, 3.142175]	decoded=[3.141772, 3.142175]
gen=42	fitness=-0.999999487947	chromosome=[3.141540, 3.142175]	decoded=[3.141540, 3.142175]
gen=43	fitness=-0.999999487947	chromosome=[3.141540, 3.142175]	decoded=[3.141540, 3.142175]
gen=44	fitness=-0.999999487947	chromosome=[3.141540, 3.142175]	decoded=[3.141540, 3.142175]
gen=45	fitness=-0.999999487947	chromosome=[3.141540, 3.142175]	decoded=[3.141540, 3.142175]
gen=46	fitness=-0.999999857126	chromosome=[3.141303, 3.141701]	decoded=[3.141303, 3.141701]
gen=47	fitness=-0.999999857126	chromosome=[3.141303, 3.141701]	decoded=[3.141303, 3.141701]
gen=48	fitness=-0.999999857126	chromosome=[3.141303, 3.141701]	decoded=[3.141303, 3.141701]
gen=49	fitness=-0.999999906704	chromosome=[3.141658, 3.141833]	decoded=[3.141658, 3.141833]
gen=50	fitness=-0.999999985556	chromosome=[3.141592, 3.141495]	decoded=[3.141592, 3.141495]
gen=51	fitness=-0.999999985556	chromosome=[3.141592, 3.141495]	decoded=[3.141592, 3.141495]
gen=52	fitness=-0.999999985556	chromosome=[3.141592, 3.141495]	decoded=[3.141592, 3.141495]
gen=53	fitness=-0.999999985556	chromosome=[3.141592, 3.141495]	decoded=[3.141592, 3.141495]
gen=54	fitness=-0.999999985556	chromosome=[3.141592, 3.141495]	decoded=[3.141592, 3.141495]
gen=55	fitness=-0.999999994076	chromosome=[3.141595, 3.141655]	decoded=[3.141595, 3.141655]
gen=56	fitness=-0.999999994076	chromosome=[3.141595, 3.141655]	decoded=[3.141595, 3.141655]
gen=57	fitness=-0.999999994076	chromosome=[3.141595, 3.141655]	decoded=[3.141595, 3.141655]
gen=58	fitness=-0.999999994082	chromosome=[3.141592, 3.141655]	decoded=[3.141592, 3.141655]
gen=59	fitness=-0.999999994082	chromosome=[3.141592, 3.141655]	decoded=[3.141592, 3.141655]
gen=60	fitness=-0.999999999779	chromosome=[3.141592, 3.141581]	decoded=[3.141592, 3.141581]
gen=61	fitness=-0.999999999779	chromosome=[3.141592, 3.141581]	decoded=[3.141592, 3.141581]
gen=62	fitness=-0.999999999779	chromosome=[3.141592, 3.141581]	decoded=[3.141592, 3.141581]
gen=63	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=64	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=65	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=66	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=67	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=68	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=69	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=70	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=71	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=72	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=73	fitness=-0.999999999987	chromosome=[3.141592, 3.141590]	decoded=[3.141592, 3.141590]
gen=74	fitness=-0.999999999992	chromosome=[3.141592, 3.141595]	decoded=[3.141592, 3.141595]
gen=75	fitness=-0.999999999997	chromosome=[3.141593, 3.141594]	decoded=[3.141593, 3.141594]
gen=76	fitness=-0.999999999997	chromosome=[3.141592, 3.141591]	decoded=[3.141592, 3.141591]
gen=77	fitness=-0.999999999999	chromosome=[3.141592, 3.141592]	decoded=[3.141592, 3.141592]
gen=78	fitness=-0.999999999999	chromosome=[3.141592, 3.141592]	decoded=[3.141592, 3.141592]
gen=79	fitness=-0.999999999999	chromosome=[3.141592, 3.141592]	decoded=[3.141592, 3.141592]
gen=80	fitness=-0.999999999999	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=81	fitness=-0.999999999999	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=82	fitness=-0.999999999999	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=83	fitness=-0.999999999999	chromosome=[3.141592, 3.141592]	decoded=[3.141592, 3.141592]
gen=84	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=85	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=86	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=87	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=88	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=89	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=90	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=91	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=92	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=93	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=94	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=95	fitness=-1.000000000000	chromosome=[3.141593, 3.141592]	decoded=[3.141593, 3.141592]
gen=96	fitness=-1.000000000000	chromosome=[3.141593, 3.141593]	decoded=[3.141593, 3.141593]
gen=97	fitness=-1.000000000000	chromosome=[3.141593, 3.141593]	decoded=[3.141593, 3.141593]
gen=98	fitness=-1.000000000000	chromosome=[3.141593, 3.141593]	decoded=[3.141593, 3.141593]
gen=99	fitness=-1.000000000000	chromosome=[3.141593, 3.141593]	decoded=[3.141593, 3.141593]
gen=100	fitness=-1.000000000000	chromosome=[3.141593, 3.141593]	decoded=[3.141593, 3.141593]
