seed=28
gen=0	fitness=513.635567931706	tour=[0, 4, 3, 8, 22, 21, 16, 20, 15, 1, 18, 14, 13, 7, 12, 9, 24, 2, 5, 10, 23, 19, 11, 17, 6]
gen=1	fitness=425.471006799972	tour=[0, 2, 3, 8, 22, 21, 16, 20, 15, 6, 18, 19, 13, 12, 7, 4, 14, 9, 5, 10, 23, 24, 17, 11, 1]
gen=2	fitness=407.159510497851	tour=[0, 2, 3, 14, 22, 21, 16, 20, 15, 10, 18, 19, 13, 12, 7, 8, 4, 9, 11, 6, 23, 24, 17, 5, 1]
gen=3	fitness=375.629686047021	tour=[0, 2, 3, 14, 24, 19, 18, 17, 15, 20, 16, 21, 22, 12, 7, 8, 4, 9, 13, 6, 11, 23, 10, 5, 1]
gen=4	fitness=329.574173292381	tour=[0, 2, 3, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 17, 7, 8, 4, 9, 13, 6, 12, 11, 10, 5, 1]
gen=5	fitness=305.497764764845	tour=[0, 2, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 7, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=6	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=7	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=8	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=9	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=10	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=11	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=12	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=13	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=14	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=15	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=16	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=17	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=18	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=19	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=20	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=21	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=22	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=23	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=24	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=25	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=26	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=27	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=28	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=29	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=30	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=31	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=32	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=33	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=34	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=35	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=36	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=37	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=38	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=39	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=40	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=41	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=42	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=43	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=44	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=45	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=46	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=47	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=48	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=49	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=50	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=51	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=52	fitness=303.716308916112	tour=[0, 7, 8, 14, 19, 24, 18, 23, 22, 21, 16, 20, 15, 6, 2, 3, 4, 9, 13, 17, 12, 11, 10, 5, 1]
gen=53	fitness=290.710678118655	tour=[0, 5, 6, 1, 7, 13, 17, 16, 11, 12, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=54	fitness=288.929222269922	tour=[0, 5, 6, 1, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=55	fitness=284.852813742386	tour=[0, 5, 1, 6, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=56	fitness=284.852813742386	tour=[0, 5, 1, 6, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=57	fitness=284.852813742386	tour=[0, 5, 1, 6, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=58	fitness=284.852813742386	tour=[0, 5, 1, 6, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=59	fitness=284.852813742386	tour=[0, 5, 1, 6, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
gen=60	fitness=284.852813742386	tour=[0, 5, 1, 6, 12, 13, 17, 16, 11, 7, 2, 3, 8, 4, 9, 14, 19, 18, 24, 23, 22, 21, 20, 15, 10]
